Updated.gene.symbol	logFC	P.Value
NA	-4.74	7.72e-20
A1BG	-0.103	0.00152
A1BG-AS1	-0.0983	0.231
A1CF	0.111	8.84e-05
A2M	-0.13	0.337
A2M-AS1	0.286	0.0279
A2ML1	3.5	6.91e-21
A2MP1	0.00251	0.537
A4GALT	0.0101	0.847
A4GNT	0.0141	0.0195
AA06	-0.00466	0.865
AAAS	-0.266	0.00538
AACS	0.573	1.54e-08
AACSP1	-0.0466	0.297
AADAC	3.49	3.81e-35
AADACL2	0.64	0.0313
AADACP1	0.471	0.00031
AADAT	0.00192	0.976
PRXL2C	-1.66	2.42e-31
AAGAB	-0.471	1.28e-05
AAK1	-0.325	2.2e-08
AAMDC	0.534	3.58e-09
AAMP	0.0356	0.598
AANAT	0.00208	0.627
AAR2	-0.543	6.55e-13
AARS1	-0.497	4.03e-12
AARS2	0.384	4.33e-05
AASDH	0.231	0.199
AASDHPPT	-0.158	0.125
AASS	0.356	9.4e-07
AATBC	-0.318	0.0497
AATF	-0.686	1.15e-18
AATK	-0.0174	0.81
ABAT	2.16	4.75e-23
ABCA1	-1.19	8.58e-14
ABCA11P	0.596	1.77e-09
ABCA12	-2.26	5.92e-12
ABCA13	-1.37	1.09e-06
ABCA17P	-0.51	0.0143
ABCA2	-0.0409	0.467
ABCA3	0.152	0.294
ABCA4	-0.196	0.0765
ABCA5	1.1	5.07e-13
ABCA6	1.02	2.57e-12
ABCA7	0.434	2.6e-06
ABCA8	3.68	2.48e-23
ABCA9	1.24	2.12e-17
ABCB1	0.445	7.68e-06
ABCB10	0.0431	0.656
ABCB11	-0.00989	0.359
ABCB4	0.601	2.11e-09
ABCB1///ABCB4	1.03	6.35e-14
ABCB5	0.031	0.0624
ABCB6	-0.0307	0.84
ABCB7	0.346	9.37e-09
ABCB8	0.128	0.0107
ASIC3///ABCB8	0.00226	0.783
ABCB9	-0.0304	0.501
ABCC1	-1.13	1.3e-13
ABCC10	-0.499	4.18e-08
ABCC11	0.00565	0.234
ABCC12	0.00148	0.717
ABCC13	-0.0229	0.223
ABCC2	-0.104	0.183
ABCC3	0.407	0.0238
ABCC4	-1.01	2.42e-16
ABCC5	-0.712	2.17e-05
ABCC6P1	0.00304	0.645
ABCC8	0.0271	0.0244
ABCC9	-0.0345	0.537
ABCD1	-0.318	0.00443
ABCD2	-0.000925	0.904
ABCD3	1.05	1.7e-30
ABCD4	0.0504	0.49
ABCE1	-0.422	1.02e-08
ABCF1	-0.532	2.7e-14
ABCF2	-0.664	5.92e-12
ABCF3	-0.485	5.45e-08
ABCG1	-1.34	1.42e-20
ABCG2	0.472	1.91e-05
ABCG4	0.0146	0.755
ABCG5	-0.000645	0.973
ABCG8	-0.027	0.516
PREB///ABHD1	-0.0023	0.909
ABHD10	-0.288	0.0108
ABHD11	0.926	4.66e-12
ABHD12	1.18	6.03e-14
ABHD13	0.0699	0.435
ACY1///ABHD14A-ACY1	-0.0334	0.786
ABHD14A	0.225	0.0693
ABHD14B	1.17	3.05e-15
ABHD15	-0.264	0.0129
ABHD16A	0.08	0.114
ABHD16B	0.000207	0.945
ABHD17A	0.266	0.000223
ABHD17B	0.301	0.000904
ABHD17C	0.488	0.00262
ABHD18	0.632	1.32e-08
ABHD2	0.276	0.0182
ABHD3	-0.0625	0.502
ABHD4	-0.132	0.166
ABHD5	0.793	3.74e-07
ABHD6	0.177	0.121
ABHD8	-0.166	0.00358
ABI1	0.354	0.000103
ABI2	-0.611	1.13e-12
ABI3	-0.142	0.1
ABI3BP	3.03	9.01e-18
ABL1	-0.564	3.55e-11
ABL2	-1.91	8.39e-32
ABLIM1	1.8	3.14e-17
ABLIM2	0.599	3.77e-05
ABLIM3	2.02	4.17e-27
ABO	0.249	5.67e-06
ABR	0.875	6e-22
ABRA	1.17	8.12e-07
ABRACL	-0.0811	0.394
ABT1	-0.241	0.00947
ABTB1	-0.359	0.000172
ABTB2	0.101	0.529
ACAA1	1.09	4.37e-26
ACAA2	0.371	0.0125
ACACA	-0.042	0.652
ACACB	1.36	5.4e-12
ACAD10	0.323	4.81e-12
ACAD8	0.828	2.22e-12
ACAD9	0.0385	0.662
ACADL	0.644	2.37e-11
ACADM	0.708	1.53e-15
ACADS	0.217	0.000101
ACADSB	1.58	5.95e-17
ACADVL	0.96	4.22e-27
ACAN	-0.17	0.00226
ACAP1	0.124	0.282
ACAP2	0.212	0.0298
ACAP3	0.413	0.00117
ACAT1	1.15	5.67e-20
ACAT2	0.806	7.51e-09
ACBD3	-0.17	0.157
ACBD4	0.0599	0.122
ACBD5	-0.256	0.00557
ACBD6///LHX4-AS1	-0.221	0.00122
ACCS	0.47	6.65e-08
ACD	-0.519	4.31e-11
ACE	-0.0594	0.379
ACE2	-0.262	0.0689
ACER1	1.02	7.94e-12
ACER2	-0.0204	0.85
ACER3	-0.128	0.3
ACHE	0.124	0.00317
ACIN1	-0.171	0.0043
ACKR1	1.97	3.43e-11
ACKR2	-0.0266	0.194
ACKR3	-1.52	6.75e-13
ACKR4	-0.147	0.445
ACLY	-0.925	2.8e-13
ACMSD	-0.00545	0.669
ACO1	-0.216	0.0512
ACO2	0.205	0.00518
ACOD1	-0.0185	0.461
ACOT2///ACOT1	-0.35	0.00169
ACOT11	0.909	1.02e-08
ACOT12	-0.0131	0.394
ACOT13	-0.589	6.67e-09
ACOT4	0.38	4.99e-06
ACOT6	0.000198	0.977
ACOT7	-1.14	5.65e-16
ACOT8	0.203	0.00117
ACOT9	-1.65	3.96e-30
ACOX1	1.5	4.25e-30
ACOX2	1.17	5.49e-20
ACOX3	1.62	4.13e-25
ACOXL	-0.112	0.026
ACP1	-0.387	0.000331
ACP2	-0.822	2.82e-17
ACP5	-1.52	5.81e-16
ACP6	1.5	1.29e-19
ACP3	3.81	3.3e-32
ACP4	-0.117	0.034
ACR	-0.00745	0.42
ACRBP	0.038	0.139
GCNA	-0.335	0.00251
ACRV1	0.0136	0.0589
ACSBG1	0.164	0.184
ACSBG2	0.0273	0.000258
ACSF2	0.621	3.97e-08
ACSF3	-0.0171	0.709
ACSL1	0.592	0.000113
ACSL3	0.411	6.29e-05
ACSL4	-1.46	6.78e-21
ACSL5	0.386	0.0367
ACSL6	0.0797	0.411
ACSM1	0.0424	0.00823
ACSM2A	-0.0146	0.656
ACSM2B	0.000411	0.924
ACSM2A///ACSM2B	-0.0156	0.173
ACSM3	0.265	0.00213
ACSM5	0.114	0.00203
ACSS1	0.198	0.123
ACSS2	0.93	4.26e-21
ACSS3	0.661	1.48e-08
ACTA1	3.25	1.79e-06
ACTA2	0.514	0.00692
ACTA2-AS1	-0.00864	0.542
ACTB	-0.24	0.00782
ACTBP9	-0.0941	0.281
ACTC1	-0.345	0.466
ACTG1	-0.0879	0.0213
ACTG1P17	0.149	1.93e-05
AMY1A///AMY1B///AMY1C///AMY2A///AMY2B	2.82	1.07e-20
AMY2B///RNPC3	0.598	7.25e-10
ACTG2	0.494	0.0488
ACTL10	0.105	0.0633
ACTL6A	-0.876	2.16e-14
ACTL6B	-0.009	0.509
ACTL7A	0.00366	0.85
ACTL7B	0.0144	0.175
ACTL8	-0.134	0.21
ACTL9	-0.00571	0.55
ACTN1	-1.69	1.72e-20
ACTN2	1.46	0.00107
ACTN3	0.233	0.000141
ACTN4	0.437	4.21e-06
ACTR10	0.213	0.000699
ACTR1A	-0.163	0.0404
ACTR1B	0.272	5.17e-05
ACTR2	0.357	0.0421
ACTR3	0.466	3.4e-06
ACTR3B	-0.0313	0.73
ACTR3BP2	-0.00408	0.77
ACTR3BP6///ACTR3BP2	0.0156	0.484
ACTR3C	0.404	3.38e-06
ACTR5	-0.589	2.99e-08
ACTR6	-0.0912	0.183
ACTR8	0.265	0.000524
ACTRT2	0.0254	0.0261
ACTRT3	-0.379	6.64e-06
ACVR1	-1.16	7.69e-24
ACVR1B	0.326	6.2e-05
ACVR1C	-1.52	1.14e-11
ACVR2A	1.57	3.11e-17
ACVR2B	-0.214	0.0294
ACVR2B-AS1	0.0221	0.129
ACVRL1	-0.234	0.0626
ACY1	0.0032	0.358
ACY3	0.109	0.00065
ACYP1	-0.0801	0.431
ADA	-1.63	1.2e-19
ADAD1	-0.00829	0.794
ADAD2	0.107	0.00603
ADAL	0.397	2.32e-11
ADAM10	-1.1	1.2e-11
ADAM11	0.0891	0.00262
ADAM12	-4.86	2.08e-39
ADAM15	0.156	0.26
ADAM17	-1.3	2.93e-17
ADAM18	0.00772	0.371
ADAM19	-0.926	2.93e-05
ADAM2	0.00234	0.782
ADAM20	0.0207	0.0213
ADAM21	0.017	0.389
ADAM22	0.0227	0.708
