Updated.gene.symbol	logFC	P.Value
ADAM23	-0.936	3.41e-05
ADAM28	-0.378	0.128
ADAM30	-0.0128	0.491
ADAM32	-0.0212	0.458
ADAM33	0.594	2.04e-08
ADAM3A	-0.02	0.622
ADAM3B	-0.00589	0.842
ADAM5	0.00652	0.681
ADAM6	-0.0102	0.203
ADAM7	0.00351	0.643
ADAM8	-1.51	2.76e-18
ADAM9	-0.886	6.01e-06
ADAMDEC1	-3.02	1.31e-15
ADAMTS1	-0.362	0.0895
ADAMTS10	0.142	0.0326
ADAMTS12	-2.49	5.06e-20
ADAMTS13	-0.0888	0.0419
ADAMTS14	-0.215	0.00107
ADAMTS15	-0.92	5.51e-06
ADAMTS16	-0.035	0.335
ADAMTS17	-0.202	0.0357
ADAMTS18	-0.169	0.0654
ADAMTS19	0.00164	0.751
ADAMTS2	-5.14	5.79e-50
ADAMTS20	-0.0531	0.0616
ADAMTS3	-0.368	0.00116
ADAMTS4	0.00307	0.797
ADAMTS5	0.185	0.373
ADAMTS6	-0.807	1.35e-06
ADAMTS7	-0.0546	0.343
ADAMTS8	0.0628	0.000144
ADAMTS9	-0.75	1.3e-05
ADAMTS9///ADAMTS9-AS1	0.00275	0.418
ADAMTS9-AS2	0.875	6.52e-16
ADAMTSL1	0.174	0.00189
ADAMTSL2	-0.0056	0.666
ADAMTSL3	0.163	0.0479
ADAMTSL4	0.743	6.1e-06
ADAMTSL5	0.0272	0.104
ADAP1	0.0897	0.393
ADAP2	-1.11	9.7e-13
ADAR	-0.956	4.09e-29
ADARB1	-0.213	0.201
ADARB2	0.124	4.69e-05
ADARB2-AS1	0.0137	0.286
ADAT1	-0.772	3.41e-13
ADAT2	-0.227	0.0388
ADAT3	-0.0472	0.417
SCAMP4///ADAT3	-0.252	0.0227
ADCK1	0.412	2.08e-07
ADCK2	0.677	1.28e-08
ADCK5	-0.335	0.000394
ADCY1	0.0794	0.000664
ADCY10	-0.044	0.358
ADCY10P1	0.116	0.188
ADCY2	0.673	7.65e-05
ADCY3	-1	8.56e-25
ADCY4	0.507	0.000163
ADCY5	0.00392	0.946
ADCY6	0.431	2.42e-06
ADCY7	0.218	0.0412
ADCY8	-0.0114	0.602
ADCY9	0.134	0.237
ADCYAP1	-0.216	0.0588
ADCYAP1R1	0.0581	0.002
ADD1	0.366	3.65e-10
ADD2	-0.125	0.156
ADD3	0.684	4.57e-07
ADD3-AS1	0.255	1.34e-07
ADGB	-0.0264	0.134
ADGRA1	0.00124	0.743
ADGRA2	0.111	0.259
ADGRA3	-0.848	1.27e-10
ADGRB1	-0.00375	0.901
ADGRB2	-0.0409	0.146
ADGRB3	0.179	4.26e-06
ADGRD1	1.39	1.9e-22
ADGRD2	-0.0149	0.759
ADGRE1	-0.405	0.00272
ADGRE2	-1.82	1.84e-16
ADGRE3	-0.0569	0.227
ADGRE5	-0.711	9.12e-07
ADGRF1	3.47	1.63e-26
ADGRF2	0.00269	0.453
ADGRF3	0.0105	0.0506
ADGRF4	0.516	0.00256
ADGRF5	-0.364	0.0143
ADGRG1	-0.533	0.000226
ADGRG2	1.33	2.02e-12
ADGRG3	-0.157	0.0439
ADGRG4	-0.000603	0.944
ADGRG5	0.153	0.118
ADGRG6	1.3	4.7e-10
ADGRG7	0.188	0.254
ADGRL1	-0.374	0.000191
ADGRL2	0.765	1.13e-05
ADGRL3	-0.214	0.251
ADGRL4	-0.457	0.00125
ADGRV1	-1.05	1.35e-07
ADH1A	0.0897	0.246
ADH1B	4.25	7.49e-37
ADH1C	0.548	0.0092
ADH4	0.453	2.53e-09
ADH5	-0.565	4.75e-12
ADH6	0.0232	0.00982
ADH7	3.88	1.56e-19
ADHFE1	0.475	0.000268
ADI1	0.435	2.74e-06
ADIG	0.0639	0.0591
ADIPOQ	1.31	1.37e-09
ADIPOR1	0.0491	0.538
ADIPOR2	0.418	2.8e-06
ADIRF	1.44	5.5e-11
ADIRF-AS1	-0.371	0.00323
ADK	0.0992	0.379
ADM	-1.39	1.63e-14
ADM2	0.0139	0.619
ADM5	-0.00461	0.955
ADNP	-0.138	0.0509
ADNP2	-0.236	0.0134
ADO	-0.52	9.67e-13
ADORA1	0.0204	0.559
ADORA2A-AS1	0.000998	0.848
ADORA2B	-2.14	8.78e-20
ADORA3	-0.962	4.08e-10
ADPGK	-0.861	3.64e-13
ADPRH	-0.235	0.0147
ADPRHL1	0.121	0.0279
ADPRS	-0.0572	0.463
ADPRM	0.0937	0.295
ADRA1A	0.0418	0.0186
ADRA1B	0.00889	0.353
ADRA1D	0.0154	0.173
ADRA2A	1.35	3.15e-07
ADRA2B	-0.00937	0.177
ADRA2C	0.126	0.00994
ADRB1	1.27	1.94e-15
ADRB2	0.178	0.387
ADRB3	0.0253	0.133
ADRM1	-0.562	4.15e-11
ADSL	-0.404	1.28e-06
ADSS2	-0.55	3.23e-11
ADSS1	1.16	4.58e-06
ADTRP	-1.93	1e-12
AEBP1	-2.19	4.48e-22
AEBP2	-0.326	0.000316
AEN	-0.5	1.13e-08
TLE5	0.557	6.56e-09
AFAP1	-0.407	8.93e-07
AFAP1-AS1	-1.09	0.000201
AFAP1L1	-1.43	5.05e-11
AFAP1L2	-1.3	6.56e-12
AFDN	1.51	3.67e-37
AFDN-DT	1.72	1.23e-45
AFF1	0.161	0.00524
AFF2	0.00932	0.11
AFF3	2.29	2.62e-20
AFF4	0.434	0.0011
AFG3L1P	-0.146	0.00842
AFG3L2	0.472	4.39e-10
AFM	-0.00108	0.829
AFMID	-0.0667	0.202
AFP	-0.0366	0.418
AFTPH	0.404	1.29e-10
AGA	0.926	4.97e-15
AGAP1	0.298	0.00494
AGAP11	0.311	7.39e-05
AGAP2	0.0181	0.0407
AGAP2-AS1	-0.88	7.58e-11
AGAP3	-0.167	0.0121
AGAP4	0.0274	0.806
BMS1P1///AGAP9	-0.359	0.00246
AGAP9	0.0274	0.809
BMS1P1///AGAP6///AGAP9	-0.0525	0.504
AGBL1	0.185	4.45e-05
AGBL2	-0.0402	0.261
AGBL3	0.0208	0.474
AGBL4	0.0033	0.64
AGBL5	0.352	0.00673
AGER	-0.0301	0.159
AGFG1	-0.73	1.5e-13
AGFG2	3.57	1.09e-55
AGGF1	0.449	1.01e-10
AGK	-0.158	0.052
AGL	0.49	1.82e-05
AGMAT	0.0241	0.114
AGO1	-0.303	0.000296
AGO2	-0.978	1.29e-19
AGO3	-0.553	2.21e-08
AGO4	0.333	6.11e-07
AGPAT1	-0.359	2.26e-05
AGPAT2	0.471	0.000249
AGPAT3	0.48	8.79e-06
AGPAT4	-0.869	8.24e-08
AGPAT4-IT1	-0.244	0.0231
AGPAT5	0.129	0.253
AGPS	-0.982	5.33e-13
AGR2	3.35	6.19e-11
AGR3	2.75	2.54e-11
AGRN	-1.87	1.65e-30
AGRP	0.000783	0.86
AGT	-0.182	0.316
AGTPBP1	0.173	0.0673
AGTR1	0.0197	0.706
AGTR2	0.00473	0.252
AGTRAP	-1.6	2.29e-31
AGXT	0.0172	0.0334
AGXT2	0.0121	0.253
AHCTF1	-0.488	5.69e-13
AHCTF1///AHCTF1P1	-0.206	0.00382
AHCY	0.395	0.000406
AHCYL1	0.35	0.00122
AHCYL2	0.339	0.000723
AHDC1	0.439	2.01e-06
AHI1	-0.133	0.196
AHNAK	2.47	2.67e-27
AHNAK2	0.179	0.539
AHR	-1.06	6.06e-21
PDCD6-AHRR///AHRR	0.0152	0.925
AHSA1	-0.511	4.55e-09
USP34///AHSA2P	0.711	1.63e-06
AHSG	0.101	0.00245
AHSP	0.0366	0.0383
AICDA	0.712	8.72e-05
AIDA	-0.16	0.0541
AIF1	-0.75	1.3e-06
AIF1L	3.46	3.25e-32
AIFM1	-0.0756	0.351
AIFM2	1.95	1.2e-21
AIFM3	-0.00347	0.719
AIG1	0.588	2.79e-11
CRYBG1	1.35	7.28e-23
CRYBG2	2.18	4.84e-20
AIM2	-2.8	8.74e-18
AIMP1	0.643	3.24e-07
AIMP2	-0.198	0.023
AIP	-0.569	5.38e-08
AIPL1	0.0105	0.131
AIRE	0.012	0.791
AJAP1	-0.696	0.000938
AJUBA	-1.26	1.08e-11
AK1	0.269	0.051
AK2	-0.834	1.27e-09
AK3	0.713	8.03e-13
AK5	-0.0444	0.188
AK6	-0.071	0.292
TAF9///AK6	-0.0408	0.594
AK7	0.0153	0.357
AK8	-0.0937	0.312
AK9	0.974	1.17e-15
AKAIN1	0.0296	0.0877
AKAP1	0.658	6.76e-11
AKAP10	-0.279	0.00942
AKAP11	0.12	0.0676
AKAP12	1.66	8.51e-14
AKAP13	0.231	0.00116
AKAP14	-0.0226	0.306
AKAP17A	0.0957	0.238
AKAP3	-0.0038	0.705
AKAP4	-0.0203	0.229
AKAP5	-0.121	0.0288
AKAP6	0.0692	0.12
AKAP7	0.664	6.03e-07
AKAP8	-0.364	8.32e-08
AKAP8L	-0.471	1.4e-09
AKAP9	0.781	1.1e-22
AKIP1	-0.869	1.87e-16
AKIRIN1	-0.748	6.29e-10
AKIRIN2	-0.696	9.49e-07
AKNA	-0.643	0.00404
AKNAD1	-0.092	0.057
AKR1A1	0.851	1.55e-21
AKR1B1	-1.07	3.32e-15
AKR1B10	-1.09	0.00435
AKR1C1	-1.43	3.24e-05
AKR1C3	-0.575	0.104
AKR1C4	-0.0278	0.261
AKR1C6P	0.0209	0.174
AKR1D1	-0.00722	0.544
AKR1E2	-0.314	0.00107
AKR7A2	0.22	0.00116
AKR7A3	0.0556	0.419
AKT1	-0.331	9.74e-05
AKT1S1	-0.313	0.00131
AKT2	0.391	2.11e-05
AKT3	-0.911	4.45e-09
AKTIP	1.23	3.11e-25
ALAD	1.12	5.35e-19
ALAS1	0.56	1.15e-10
ALAS2	0.0251	0.0341
ALB	-0.018	0.508
ALCAM	-0.265	0.0454
ALDH16A1	-0.413	4.53e-06
ALDH18A1	-0.198	0.0341
ALDH1A1	3.03	2.46e-15
ALDH1A2	0.0316	0.0149
ALDH1A3	1.5	8.85e-10
ALDH1B1	-0.571	1.47e-05
ALDH1L1	1.15	3.63e-10
ALDH1L1-AS2	-0.00866	0.616
ALDH1L2	-1.48	1.08e-10
ALDH2	0.866	1.02e-10
ALDH3A1	3.54	3.32e-16
ALDH3A2	1.75	5.75e-23
ALDH3B1	0.242	0.0053
ALDH3B2	1.19	1.88e-05
ALDH4A1	0.18	0.195
ALDH5A1	1.02	4.74e-05
ALDH6A1	1.5	3.81e-17
ALDH7A1	0.885	5.72e-08
ALDH8A1	-0.116	0.134
ALDH9A1	1.46	1.99e-31
ALDOA	0.38	0.000128
ALDOAP2	-0.0287	0.176
ALDOB	-0.0294	0.329
ALDOC	0.225	0.176
ALG1	-0.32	7.95e-06
ALG10	-0.525	4.49e-06
ALG10B	0.265	0.0165
UTP14A///UTP14C	-0.381	3.52e-07
UTP14C	0.16	0.0213
ALG12	0.00181	0.98
ALG13	0.245	0.0242
ALG14	0.312	0.00467
ALG2	-0.536	1.77e-09
ALG3	-0.677	1.34e-15
ALG5	-0.116	0.154
ALG6	0.0171	0.845
ALG8	-0.189	0.0686
ALG9	0.549	1.33e-08
ALK	0.0717	0.0199
ALKBH1	-0.159	0.0119
ALKBH2	-0.256	0.00175
ALKBH3	0.255	0.0022
ALKBH3-AS1	0.025	0.0624
ALKBH4	-0.148	0.0231
ALKBH5	-0.647	2.76e-16
ALKBH6	-0.603	5.42e-13
ALKBH7	1.1	7.22e-29
ALKBH8	0.0419	0.707
ALLC	0.0364	0.0142
ALMS1	-0.597	2.04e-06
ALMS1-IT1	-0.181	0.008
ALMS1P1	-0.0345	0.0825
ALOX12	3.08	1.17e-18
ALOX12-AS1	0.414	4e-08
ALOX12B	-1.61	0.000117
ALOX12P2	-0.134	0.0495
ALOX15	-0.071	0.277
ALOX15B	-0.716	0.00508
ALOX5	0.129	0.394
ALOX5AP	-0.545	0.000787
ALOXE3	-0.903	0.000143
ALPI	-0.00457	0.506
ALPK1	0.143	0.303
ALPK2	-0.671	0.0098
ALPK3	0.286	0.0173
ALPL	-0.261	0.00813
ALPP	-0.0287	0.578
ALPG	-0.0181	0.579
ALPP///ALPG	-0.00913	0.821
ALS2	-0.453	2.79e-05
ALS2CL	1.92	8.28e-21
C2CD6	-0.0349	0.373
FLACC1	-0.0734	0.0696
ALX1	-0.096	0.2
ALX3	0.0248	0.386
ALX4	0.00266	0.828
ALYREF	-0.735	1.03e-11
AMACR	0.0686	0.114
AMBN	-0.0118	0.597
AMBP	0.00528	0.206
AMBRA1	0.0183	0.53
AMD1	0.371	5.55e-10
AMDHD1	-0.547	0.0113
AMELX	0.0026	0.87
AMELY	-0.0157	0.57
AMER1	-0.0469	0.111
AMER2	0.073	0.0383
AMER3	0.00575	0.614
AMFR	0.656	6.05e-10
AMHR2	0.00267	0.434
AMIGO1	0.161	0.00439
AMIGO2	-1.41	6.06e-10
GMPPB	0.58	2.08e-10
AMMECR1	-0.651	0.000457
AMMECR1L	-0.458	6.32e-15
AMN	0.197	0.0884
AMN1	0.242	0.02
AMOT	0.0136	0.0997
AMOTL1	0.353	0.0021
AMOTL2	0.935	5.17e-13
AMPD1	1.84	1.04e-11
AMPD2	-0.414	6.48e-09
AMPD3	-0.883	2.17e-11
AMPH	-0.355	0.00454
AMT	0.666	7.89e-06
AMZ1	-0.0793	0.202
AMZ2	-0.24	0.000165
AMZ2P1	-0.0502	0.497
ANAPC10	-0.397	1.63e-06
ANAPC11	0.0912	0.0878
ANAPC13	-0.242	0.000838
ANAPC15	0.444	0.000513
ANAPC16	0.709	2.14e-14
ANAPC2	-0.0256	0.781
ANAPC4	0.256	0.000237
ANAPC5	-0.38	0.000887
ANAPC7	0.699	4.85e-09
ANG	1.19	2.56e-09
ANGEL1	-0.322	7.78e-09
ANGEL2	-0.429	2.07e-05
ANGPT1	-0.351	0.019
ANGPT2	-2.52	5.19e-28
ANGPT4	0.0285	0.0439
ANGPTL1	2.82	7.38e-21
ANGPTL2	-1.29	2.41e-11
ANGPTL3	-0.0194	0.479
ANGPTL4	-0.871	1.83e-05
ANGPTL6	0.0153	0.534
ANGPTL7	-0.0126	0.728
ANGPTL8	0.00457	0.325
ANHX	-0.105	0.00217
ANK1	0.636	8.61e-05
ANK2	2.25	1.11e-13
ANK3	0.365	0.0106
ANKAR	0.0431	2.13e-05
ANKDD1A	0.413	0.00124
ANKEF1	-0.409	0.00345
ANKFN1	0.0557	0.205
ANKFY1	-0.257	0.0136
ANKH	-1.2	3.21e-11
ANKHD1	0.172	0.00162
ANKHD1///ANKHD1-EIF4EBP3	0.572	1.84e-13
EIF4EBP3///ANKHD1-EIF4EBP3	1.21	4.09e-25
ANKIB1	-0.603	7.29e-14
ANKLE1	-0.0426	0.214
ANKLE2	-0.978	2.54e-18
ANKMY1	0.182	0.00554
ANKMY2	0.409	8.01e-06
ANKRA2	0.341	1.81e-05
ANKRD1	-0.0861	0.22
ANKRD10	-0.44	2.5e-05
ANKRD10///ANKRD10-IT1	-0.528	5.48e-05
ANKRD11	0.512	0.0226
ANKRD12	0.763	0.00406
ANKRD13A	0.777	2.63e-09
ANKRD13B	-0.13	0.0363
ANKRD13C	-0.275	0.000638
ANKRD13D	-0.0592	0.516
ANKRD16	0.306	0.00464
ANKRD17	-0.236	0.000232
ANKRD18A	0.122	0.00183
ANKRD18B	0.204	6.62e-10
ANKRD19P	0.0235	0.0738
ANKRD2	0.264	0.0866
ANKRD20A11P	4.52	2.82e-60
ANKRD20A12P	0.00938	0.701
ANKRD20A12P///ANKRD20A1///ANKRD20A3P///ANKRD20A2P///ANKRD20A4P///ANKRD20A8P///ANKRD20A21P	2.64	1.8e-48
ANKRD20A1///ANKRD20A3P///ANKRD20A2P///ANKRD20A4P	0.348	0.000338
ANKRD20A5P	4.18	2.52e-67
ANKRD22	1.12	3.49e-07
ANKRD23	0.225	0.00525
ANKRD39///ANKRD23	0.762	0.0371
ANKRD24	-0.0195	0.163
ANKRD26	0.0342	0.374
ANKRD26P3	-0.159	0.0532
ANKRD27	-0.156	0.0137
ANKRD28	-1.34	1.02e-19
ANKRD29	-0.645	0.0105
ANKRD30A	-0.0029	0.847
ANKRD30B	-0.0382	0.383
ANKRD30BP2	0.00692	0.581
ANKRD30BP3	0.0184	0.394
ANKRD31	-0.00878	0.592
ANKRD33	0.0227	0.111
ANKRD33B	-0.172	0.249
ANKRD34A	-0.0168	0.422
ANKRD34C	0.000161	0.977
ANKRD35	2.82	5.59e-30
ANKRD36	-0.118	0.11
ANKRD36B	0.128	0.387
ANKRD36BP2	-0.609	0.0536
ANKRD36C	0.0755	0.375
ANKRD37	1.5	6.07e-12
ANKRD39///ANKRD23	-0.342	0.000537
ANKRD40	-0.216	0.000795
ANKRD42	0.14	0.0819
ANKRD44	0.282	0.00713
ANKRD44-IT1	-0.0157	0.149
ANKRD45	-0.0552	0.391
ANKRD46	0.309	0.00529
ANKRD49	0.258	0.00133
ANKRD50	-0.761	2.29e-08
ANKRD52	-0.21	0.00235
ANKRD53	0.0219	0.516
ANKRD54	0.145	0.0401
ANKRD55	0.157	0.0172
ANKRD6	1	2.28e-07
ANKRD60	0.00516	0.187
ANKRD65	0.0343	0.691
ANKRD7	-0.000762	0.92
ANKRD9	-0.175	0.151
ANKS1A	-0.187	0.00862
ANKS1B	0.0116	0.612
ANKS3	-0.0163	0.733
ANKS4B	-0.00338	0.695
ANKS6	-0.276	0.000134
ANKUB1	-0.0405	0.27
ANKZF1	0.0441	0.529
ANLN	-1.34	3.23e-09
ANO1	-2.51	2.49e-14
ANO10	0.943	5.53e-14
ANO2	0.0169	0.054
ANO3	-0.0118	0.498
ANO4	-0.23	0.0182
ANO5	0.754	6e-07
ANO6	-0.851	5.66e-17
ANO7	0.00684	0.0897
ANO8	0.34	9.55e-06
ANO9	0.136	0.427
ANOS1	-1.06	2.9e-05
ANP32A	-0.404	6e-05
ANP32A-IT1	0.0471	0.632
ANP32B	-0.111	0.106
ANP32CP	-0.00066	0.918
ANP32D	0.0101	0.519
ANP32E	-0.968	1.76e-11
ANPEP	-1.22	7.11e-10
ANTXR1	-1.61	8.13e-18
ANTXR2	-0.803	1.66e-06
ANXA1	1.68	4.77e-08
ANXA10	-0.289	0.0909
ANXA11	1.23	1.85e-30
ANXA13	-0.0303	0.255
ANXA2	0.189	0.00353
ANXA2P1	0.345	5.14e-05
ANXA2P2	0.228	0.000355
ANXA2P3	0.163	0.00222
ANXA2R	-0.0308	0.832
ANXA3	0.725	0.00149
ANXA4	-0.535	1.99e-10
ANXA5	-0.894	6.47e-17
ANXA6	-0.744	2.58e-06
ANXA7	-0.193	0.00166
ANXA8L1///LINC00842///ANXA8	0.626	6.11e-05
ANXA9	4.16	6.07e-32
AOAH	-0.854	9.52e-07
AOC1	-0.504	0.00144
AOC2	-0.00645	0.555
AOC3	1.36	9.12e-11
AOC4P	0.00625	0.863
AOX1	1.27	4.33e-08
AOX3P-AOX2P	0.00973	0.297
AP1AR	0.303	0.00499
AP1B1	0.502	2.5e-10
AP1G1	0.292	7.83e-07
AP1G2	0.365	1.56e-06
AP1M1	-0.712	4.83e-11
AP1M2	0.734	3.09e-08
AP1S1	-0.835	7.07e-12
