ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title
215873_x_at	3.12e-07	4.18e-08	-5.6913213	7.775008	-0.499	ABCC10	ATP binding cassette subfamily C member 10	ABCC10	ATP binding cassette subfamily C member 10
1554911_at	0.399	0.234	1.19276	-6.579424	0.00565	ABCC11	ATP binding cassette subfamily C member 11	ABCC11	ATP binding cassette subfamily C member 11
1552590_a_at	0.833	0.717	0.3624975	-7.222772	0.00148	ABCC12	ATP binding cassette subfamily C member 12	ABCC12	ATP binding cassette subfamily C member 12
1552582_at	0.384	0.223	-1.2211304	-6.545413	-0.0229	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)
206155_at	0.329	0.183	-1.3360879	-6.399545	-0.104	ABCC2	ATP binding cassette subfamily C member 2	ABCC2	ATP binding cassette subfamily C member 2
208161_s_at	0.06	0.0238	2.2769388	-4.727358	0.407	ABCC3	ATP binding cassette subfamily C member 3	ABCC3	ATP binding cassette subfamily C member 3
203196_at	5.39e-15	2.42e-16	-8.9098189	26.379625	-1.01	ABCC4	ATP binding cassette subfamily C member 4	ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)
209380_s_at	0.000105	2.17e-05	-4.3443781	1.749294	-0.712	ABCC5	ATP binding cassette subfamily C member 5	ABCC5	ATP binding cassette subfamily C member 5
236205_at	0.784	0.645	0.4607868	-7.18234	0.00304	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1
210245_at	0.0613	0.0244	2.2669465	-4.749519	0.0271	ABCC8	ATP binding cassette subfamily C member 8	ABCC8	ATP binding cassette subfamily C member 8
208562_s_at	0.702	0.537	-0.6185037	-7.097337	-0.0345	ABCC9	ATP binding cassette subfamily C member 9	ABCC9	ATP binding cassette subfamily C member 9
205142_x_at	0.0136	0.00443	-2.8768238	-3.229296	-0.318	ABCD1	ATP binding cassette subfamily D member 1	ABCD1	ATP binding cassette subfamily D member 1
207583_at	0.949	0.904	-0.1201772	-7.281241	-0.000925	ABCD2	ATP binding cassette subfamily D member 2	ABCD2	ATP binding cassette subfamily D member 2
202850_at	2.2e-28	1.7e-30	13.5466106	58.622057	1.05	ABCD3	ATP binding cassette subfamily D member 3	ABCD3	ATP binding cassette subfamily D member 3
203981_s_at	0.664	0.49	0.6918231	-7.049392	0.0504	ABCD4	ATP binding cassette subfamily D member 4	ABCD4	ATP binding cassette subfamily D member 4
201873_s_at	8.28e-08	1.02e-08	-5.9653118	9.149546	-0.422	ABCE1	ATP binding cassette subfamily E member 1	ABCE1	ATP binding cassette subfamily E member 1
200045_at	4.62e-13	2.7e-14	-8.1768459	21.7353	-0.532	ABCF1	ATP binding cassette subfamily F member 1	ABCF1	ATP binding cassette subfamily F member 1
209247_s_at	7.47e-11	5.92e-12	-7.2959768	16.435402	-0.664	ABCF2	ATP binding cassette subfamily F member 2	ABCF2	ATP binding cassette subfamily F member 2
202394_s_at	4e-07	5.45e-08	-5.6390424	7.518087	-0.485	ABCF3	ATP binding cassette subfamily F member 3	ABCF3	ATP binding cassette subfamily F member 3
204567_s_at	5.26e-19	1.42e-20	-10.3529264	36.006001	-1.34	ABCG1	ATP binding cassette subfamily G member 1	ABCG1	ATP binding cassette subfamily G member 1
209735_at	9.32e-05	1.91e-05	4.3750916	1.872097	0.472	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)
207593_at	0.858	0.755	0.3125384	-7.239628	0.0146	ABCG4	ATP binding cassette subfamily G member 4	ABCG4	ATP binding cassette subfamily G member 4
220383_at	0.986	0.973	-0.0340252	-7.287884	-0.000645	ABCG5	ATP binding cassette subfamily G member 5	ABCG5	ATP binding cassette subfamily G member 5
231751_at	0.685	0.516	-0.6509966	-7.076749	-0.027	ABCG8	ATP binding cassette subfamily G member 8	ABCG8	ATP binding cassette subfamily G member 8
232550_at	0.951	0.909	-0.1148896	-7.281863	-0.0023	ABHD1	abhydrolase domain containing 1	PREB///ABHD1	prolactin regulatory element binding///abhydrolase domain containing 1
222697_s_at	0.0299	0.0108	-2.5726295	-4.02987	-0.288	ABHD10	abhydrolase domain containing 10	ABHD10	abhydrolase domain containing 10, depalmitoylase
221927_s_at	5.96e-11	4.66e-12	7.3362665	16.670277	0.926	ABHD11	abhydrolase domain containing 11	ABHD11	abhydrolase domain containing 11
228124_at	9.9e-13	6.03e-14	8.0484855	20.942593	1.18	ABHD12	abhydrolase domain containing 12	ABHD12	abhydrolase domain containing 12, lysophospholipase
234993_at	0.615	0.435	0.78212	-6.983009	0.0699	ABHD13	abhydrolase domain containing 13	ABHD13	abhydrolase domain containing 13
202740_at	0.877	0.786	-0.2721109	-7.251442	-0.0334	ABHD14A-ACY1///ACY1	ABHD14A-ACY1 readthrough///aminoacylase 1	ACY1///ABHD14A-ACY1	aminoacylase 1///ABHD14A-ACY1 readthrough
210006_at	0.149	0.0693	1.8255241	-5.635044	0.225	ABHD14A///ACY1	abhydrolase domain containing 14A///aminoacylase 1	ABHD14A	abhydrolase domain containing 14A
224821_at	5.89e-14	3.05e-15	8.5191918	23.880498	1.17	ABHD14B	abhydrolase domain containing 14B	ABHD14B	abhydrolase domain containing 14B
226796_at	0.035	0.0129	-2.5085692	-4.18779	-0.264	ABHD15	abhydrolase domain containing 15	ABHD15	abhydrolase domain containing 15
230221_at	0.225	0.114	1.5892258	-6.033	0.08	ABHD16A	abhydrolase domain containing 16A	ABHD16A	abhydrolase domain containing 16A, phospholipase
234002_at	0.972	0.945	0.0689871	-7.286083	0.000207	ABHD16B	abhydrolase domain containing 16B	ABHD16B	abhydrolase domain containing 16B
221267_s_at	0.000902	0.000223	3.7563131	-0.459486	0.266	ABHD17A	abhydrolase domain containing 17A	ABHD17A	abhydrolase domain containing 17A, depalmitoylase
227551_at	0.00324	0.000904	3.3667342	-1.76791	0.301	ABHD17B	abhydrolase domain containing 17B	ABHD17B	abhydrolase domain containing 17B, depalmitoylase
225436_at	0.00848	0.00262	3.0450781	-2.751018	0.488	ABHD17C	abhydrolase domain containing 17C	ABHD17C	abhydrolase domain containing 17C, depalmitoylase
241968_at	1.06e-07	1.32e-08	5.9153169	8.895275	0.632	ABHD18	abhydrolase domain containing 18	ABHD18	abhydrolase domain containing 18
63825_at	0.0475	0.0182	2.3795005	-4.494551	0.276	ABHD2	abhydrolase domain containing 2	ABHD2	abhydrolase domain containing 2, acylglycerol lipase
213017_at	0.673	0.502	-0.6730256	-7.062194	-0.0625	ABHD3	abhydrolase domain containing 3	ABHD3	abhydrolase domain containing 3, phospholipase
218581_at	0.305	0.166	-1.3892654	-6.327706	-0.132	ABHD4	abhydrolase domain containing 4	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B
218739_at	2.41e-06	3.74e-07	5.2476544	5.651173	0.793	ABHD5	abhydrolase domain containing 5	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase
45288_at	0.236	0.121	1.5572691	-6.082697	0.177	ABHD6	abhydrolase domain containing 6	ABHD6	abhydrolase domain containing 6, acylglycerol lipase
219101_x_at	0.0112	0.00358	-2.9458987	-3.035971	-0.166	ABHD8	abhydrolase domain containing 8	ABHD8	abhydrolase domain containing 8
209027_s_at	0.000442	0.000103	3.9593771	0.272118	0.354	ABI1	abl interactor 1	ABI1	abl interactor 1
207268_x_at	1.57e-11	1.13e-12	-7.5718718	18.058862	-0.611	ABI2	abl-interactor 2	ABI2	abl interactor 2
223615_at	0.203	0.1	-1.6518405	-5.932771	-0.142	ABI3	ABI family member 3	ABI3	ABI family member 3
223395_at	2.36e-16	9.01e-18	9.4063236	29.627356	3.03	ABI3BP	ABI family member 3 binding protein	ABI3BP	ABI family member 3 binding protein
202123_s_at	4.06e-10	3.55e-11	-6.9899329	14.676876	-0.564	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase
226893_at	1.33e-29	8.39e-32	-13.9597459	61.606048	-1.91	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase
210461_s_at	7.8e-16	3.14e-17	9.2191129	28.393982	1.8	ABLIM1	actin binding LIM protein 1	ABLIM1	actin binding LIM protein 1
228132_at	0.000175	3.77e-05	4.2104666	1.222352	0.599	ABLIM2	actin binding LIM protein family member 2	ABLIM2	actin binding LIM protein family member 2
205730_s_at	3.51e-25	4.17e-27	12.4716753	50.892213	2.02	ABLIM3	actin binding LIM protein family member 3	ABLIM3	actin binding LIM protein family member 3
216929_x_at	3.03e-05	5.67e-06	4.6570683	3.032837	0.249	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
212895_s_at	2.62e-20	6e-22	10.8065582	39.134276	0.875	ABR	active BCR-related	ABR	ABR activator of RhoGEF and GTPase
1552732_at	4.95e-06	8.12e-07	5.0844365	4.903012	1.17	ABRA	actin binding Rho activating protein	ABRA	actin binding Rho activating protein
223361_at	0.577	0.394	-0.854494	-6.923965	-0.0811	ABRACL	ABRA C-terminal like	ABRACL	ABRA C-terminal like
218405_at	0.0267	0.00947	-2.6187327	-3.913905	-0.241	ABT1	activator of basal transcription 1	ABT1	activator of basal transcription 1
229164_s_at	0.00071	0.000172	-3.8252621	-0.214825	-0.359	ABTB1	ankyrin repeat and BTB domain containing 1	ABTB1	ankyrin repeat and BTB domain containing 1
213497_at	0.696	0.529	0.6299805	-7.090185	0.101	ABTB2	ankyrin repeat and BTB domain containing 2	ABTB2	ankyrin repeat and BTB domain containing 2
214274_s_at	3.24e-24	4.37e-26	12.1456684	48.564069	1.09	ACAA1	acetyl-CoA acyltransferase 1	ACAA1	acetyl-CoA acyltransferase 1
202003_s_at	0.034	0.0125	2.520128	-4.159573	0.371	ACAA2	acetyl-CoA acyltransferase 2	ACAA2	acetyl-CoA acyltransferase 2
212186_at	0.788	0.652	-0.452245	-7.186236	-0.042	ACACA	acetyl-CoA carboxylase alpha	ACACA	acetyl-CoA carboxylase alpha
49452_at	6.85e-11	5.4e-12	7.3115056	16.525839	1.36	ACACB	acetyl-CoA carboxylase beta	ACACB	acetyl-CoA carboxylase beta
219986_s_at	6.15e-11	4.81e-12	7.3306589	16.637541	0.323	ACAD10	acyl-CoA dehydrogenase family member 10	ACAD10	acyl-CoA dehydrogenase family member 10
221669_s_at	2.99e-11	2.22e-12	7.4599067	17.395798	0.828	ACAD8	acyl-CoA dehydrogenase family member 8	ACAD8	acyl-CoA dehydrogenase family member 8
224160_s_at	0.796	0.662	0.4376657	-7.192718	0.0385	ACAD9	acyl-CoA dehydrogenase family member 9	ACAD9	acyl-CoA dehydrogenase family member 9
206068_s_at	2.76e-10	2.37e-11	7.0598832	15.074746	0.644	ACADL	acyl-CoA dehydrogenase, long chain	ACADL	acyl-CoA dehydrogenase long chain
202502_at	3.06e-14	1.53e-15	8.6263778	24.560993	0.708	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	ACADM	acyl-CoA dehydrogenase medium chain
202366_at	0.000434	0.000101	3.9647491	0.291925	0.217	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	ACADS	acyl-CoA dehydrogenase short chain
226030_at	1.42e-15	5.95e-17	9.1229531	27.764524	1.58	ACADSB	acyl-CoA dehydrogenase, short/branched chain	ACADSB	acyl-CoA dehydrogenase short/branched chain
200710_at	3.54e-25	4.22e-27	12.4700724	50.880743	0.96	ACADVL	acyl-CoA dehydrogenase, very long chain	ACADVL	acyl-CoA dehydrogenase very long chain
217161_x_at	0.0074	0.00226	-3.0921587	-2.612728	-0.17	ACAN	aggrecan	ACAN	aggrecan
205212_s_at	0.457	0.282	1.0790407	-6.707825	0.124	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
212476_at	0.0729	0.0298	2.1876757	-4.922028	0.212	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
225529_at	0.00411	0.00117	3.2907085	-2.008325	0.413	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
205412_at	1.95e-18	5.67e-20	10.1522165	34.635478	1.15	ACAT1	acetyl-CoA acetyltransferase 1	ACAT1	acetyl-CoA acetyltransferase 1
209608_s_at	6.23e-08	7.51e-09	6.0232586	9.446157	0.806	ACAT2	acetyl-CoA acetyltransferase 2	ACAT2	acetyl-CoA acetyltransferase 2
202323_s_at	0.292	0.157	-1.4200545	-6.284855	-0.17	ACBD3	acyl-CoA binding domain containing 3	ACBD3	acyl-CoA binding domain containing 3
219413_at	0.239	0.122	1.5510777	-6.092212	0.0599	ACBD4	acyl-CoA binding domain containing 4	ACBD4	acyl-CoA binding domain containing 4
1568877_a_at	0.0166	0.00557	-2.8009502	-3.436759	-0.256	ACBD5	acyl-CoA binding domain containing 5	ACBD5	acyl-CoA binding domain containing 5
225317_at	0.00426	0.00122	-3.2792369	-2.044172	-0.221	ACBD6	acyl-CoA binding domain containing 6	ACBD6///LHX4-AS1	acyl-CoA binding domain containing 6///LHX4 antisense RNA 1
228264_at	4.81e-07	6.65e-08	5.5995306	7.325068	0.47	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
204617_s_at	4.87e-10	4.31e-11	-6.9567538	14.489017	-0.519	ACD	adrenocortical dysplasia homolog	ACD	ACD shelterin complex subunit and telomerase recruitment factor
227463_at	0.563	0.379	-0.8808337	-6.90119	-0.0594	ACE	angiotensin I converting enzyme	ACE	angiotensin I converting enzyme
219962_at	0.149	0.0689	-1.8285433	-5.629613	-0.262	ACE2	angiotensin I converting enzyme 2	ACE2	angiotensin converting enzyme 2
1553929_at	9.86e-11	7.94e-12	7.2461701	16.146112	1.02	ACER1	alkaline ceramidase 1	ACER1	alkaline ceramidase 1
227306_at	0.918	0.85	-0.1891483	-7.270574	-0.0204	ACER2	alkaline ceramidase 2	ACER2	alkaline ceramidase 2
222687_s_at	0.478	0.3	-1.0388016	-6.750215	-0.128	ACER3	alkaline ceramidase 3	ACER3	alkaline ceramidase 3
205378_s_at	0.0101	0.00317	2.9853162	-2.923758	0.124	ACHE	acetylcholinesterase (Cartwright blood group)	ACHE	acetylcholinesterase (Yt blood group)
201715_s_at	0.0132	0.0043	-2.886311	-3.202995	-0.171	ACIN1	apoptotic chromatin condensation inducer 1	ACIN1	apoptotic chromatin condensation inducer 1
208335_s_at	3.92e-10	3.43e-11	6.9963607	14.713334	1.97	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	ACKR1	atypical chemokine receptor 1 (Duffy blood group)
206887_at	0.345	0.194	-1.3027823	-6.443134	-0.0266	ACKR2	atypical chemokine receptor 2	ACKR2	atypical chemokine receptor 2
212977_at	9.63e-12	6.75e-13	-7.6570702	18.56718	-1.52	ACKR3	atypical chemokine receptor 3	ACKR3	atypical chemokine receptor 3
220351_at	0.625	0.445	-0.7645899	-6.996529	-0.147	ACKR4	atypical chemokine receptor 4	ACKR4	atypical chemokine receptor 4
210337_s_at	4.22e-12	2.8e-13	-7.8007873	19.431841	-0.925	ACLY	ATP citrate lyase	ACLY	ATP citrate lyase
230602_at	0.801	0.669	-0.4283191	-7.196762	-0.00545	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	ACMSD	aminocarboxymuconate semialdehyde decarboxylase
207071_s_at	0.116	0.0512	-1.9606662	-5.38347	-0.216	ACO1	aconitase 1	ACO1	aconitase 1
200793_s_at	0.0156	0.00518	2.8253541	-3.370592	0.205	ACO2	aconitase 2	ACO2	aconitase 2
240287_at	0.639	0.461	-0.7381256	-7.016363	-0.0185	ACOD1	aconitate decarboxylase 1	ACOD1	aconitate decarboxylase 1
202982_s_at	0.00571	0.00169	-3.1808043	-2.347101	-0.35	ACOT1///ACOT2	acyl-CoA thioesterase 1///acyl-CoA thioesterase 2	ACOT2///ACOT1	acyl-CoA thioesterase 2///acyl-CoA thioesterase 1
214763_at	8.32e-08	1.02e-08	5.9644406	9.145102	0.909	ACOT11	acyl-CoA thioesterase 11	ACOT11	acyl-CoA thioesterase 11
238160_at	0.577	0.394	-0.8545847	-6.923888	-0.0131	ACOT12	acyl-CoA thioesterase 12	ACOT12	acyl-CoA thioesterase 12
204565_at	5.58e-08	6.67e-09	-6.0456147	9.561132	-0.589	ACOT13	acyl-CoA thioesterase 13	ACOT13	acyl-CoA thioesterase 13
229534_at	2.68e-05	4.99e-06	4.6862661	3.156411	0.38	ACOT4	acyl-CoA thioesterase 4	ACOT4	acyl-CoA thioesterase 4
241949_at	0.988	0.977	0.0283663	-7.288061	0.000198	ACOT6	acyl-CoA thioesterase 6	ACOT6	acyl-CoA thioesterase 6
208002_s_at	1.19e-14	5.65e-16	-8.7801279	25.544123	-1.14	ACOT7	acyl-CoA thioesterase 7	ACOT7	acyl-CoA thioesterase 7
204212_at	0.00412	0.00117	3.2899529	-2.01069	0.203	ACOT8	acyl-CoA thioesterase 8	ACOT8	acyl-CoA thioesterase 8
221641_s_at	4.89e-28	3.96e-30	-13.4307428	57.78605	-1.65	ACOT9	acyl-CoA thioesterase 9	ACOT9	acyl-CoA thioesterase 9
213501_at	5.2e-28	4.25e-30	13.4212767	57.717773	1.5	ACOX1	acyl-CoA oxidase 1	ACOX1	acyl-CoA oxidase 1
205364_at	1.89e-18	5.49e-20	10.156919	34.667485	1.17	ACOX2	acyl-CoA oxidase 2	ACOX2	acyl-CoA oxidase 2
204241_at	2.73e-23	4.13e-25	11.832973	46.340969	1.62	ACOX3	acyl-CoA oxidase 3, pristanoyl	ACOX3	acyl-CoA oxidase 3, pristanoyl
