ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title
1556773_at	2.61e-18	7.72e-20	-10.1072296	34.329525	-4.74				
229819_at	0.00521	0.00152	-3.2118939	-2.252325	-0.103	A1BG	alpha-1-B glycoprotein	A1BG	alpha-1-B glycoprotein
232462_s_at	0.394	0.231	-1.2015003	-6.56903	-0.0983	A1BG-AS1	A1BG antisense RNA 1	A1BG-AS1	A1BG antisense RNA 1
220951_s_at	0.000386	8.84e-05	3.9976444	0.413711	0.111	A1CF	APOBEC1 complementation factor	A1CF	APOBEC1 complementation factor
217757_at	0.518	0.337	-0.9615102	-6.827162	-0.13	A2M	alpha-2-macroglobulin	A2M	alpha-2-macroglobulin
1564139_at	0.0687	0.0279	2.2146854	-4.863907	0.286	A2M-AS1	A2M antisense RNA 1 (head to head)	A2M-AS1	A2M antisense RNA 1
1564307_a_at	2.65e-19	6.91e-21	10.4563466	36.715577	3.5	A2ML1	alpha-2-macroglobulin like 1	A2ML1	alpha-2-macroglobulin like 1
236394_at	0.702	0.537	0.6179537	-7.097676	0.00251	A2MP1	alpha-2-macroglobulin pseudogene 1	A2MP1	alpha-2-macroglobulin pseudogene 1
219488_at	0.916	0.847	0.1932613	-7.269787	0.0101	A4GALT	alpha 1,4-galactosyltransferase	A4GALT	alpha 1,4-galactosyltransferase (P1PK blood group)
221131_at	0.0503	0.0195	2.3546863	-4.55177	0.0141	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase
241552_at	0.927	0.865	-0.1706147	-7.273908	-0.00466	AA06	uncharacterized LOC100506677	AA06	uncharacterized LOC100506677
218075_at	0.0161	0.00538	-2.8125009	-3.405508	-0.266	AAAS	aladin WD repeat nucleoporin	AAAS	aladin WD repeat nucleoporin
218434_s_at	1.22e-07	1.54e-08	5.8863432	8.748616	0.573	AACS	acetoacetyl-CoA synthetase	AACS	acetoacetyl-CoA synthetase
1570020_at	0.474	0.297	-1.0453074	-6.743469	-0.0466	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	AACSP1	acetoacetyl-CoA synthetase pseudogene 1
205969_at	9.13e-33	3.81e-35	15.0149745	69.234263	3.49	AADAC	arylacetamide deacetylase	AADAC	arylacetamide deacetylase
240420_at	0.0762	0.0313	2.1670991	-4.965848	0.64	AADACL2	arylacetamide deacetylase like 2	AADACL2	arylacetamide deacetylase like 2
1569582_at	0.00122	0.00031	3.6672829	-0.76964	0.471	AADACP1	arylacetamide deacetylase pseudogene 1	AADACP1	arylacetamide deacetylase pseudogene 1
223593_at	0.987	0.976	0.0303918	-7.288001	0.00192	AADAT	aminoadipate aminotransferase	AADAT	aminoadipate aminotransferase
227534_at	3.54e-29	2.42e-31	-13.8145521	60.556885	-1.66	AAED1	AhpC/TSA antioxidant enzyme domain containing 1	PRXL2C	peroxiredoxin like 2C
243284_at	6.45e-05	1.28e-05	-4.4693874	2.25361	-0.471	AAGAB	alpha- and gamma-adaptin binding protein	AAGAB	alpha- and gamma-adaptin binding protein
225522_at	1.71e-07	2.2e-08	-5.8165944	8.397684	-0.325	AAK1	AP2 associated kinase 1	AAK1	AP2 associated kinase 1
221599_at	3.12e-08	3.58e-09	6.1623887	10.166523	0.534	AAMDC	adipogenesis associated Mth938 domain containing	AAMDC	adipogenesis associated Mth938 domain containing
201511_at	0.75	0.598	0.5274755	-7.149421	0.0356	AAMP	angio associated migratory cell protein	AAMP	angio associated migratory cell protein
207225_at	0.771	0.627	0.4868566	-7.169999	0.00208	AANAT	aralkylamine N-acetyltransferase	AANAT	aralkylamine N-acetyltransferase
218089_at	9.37e-12	6.55e-13	-7.6618955	18.596066	-0.543	AAR2	AAR2 splicing factor homolog	AAR2	AAR2 splicing factor
201000_at	5.21e-11	4.03e-12	-7.3603802	16.811218	-0.497	AARS	alanyl-tRNA synthetase	AARS1	alanyl-tRNA synthetase 1
231845_at	0.000199	4.33e-05	4.1765189	1.090978	0.384	AARS2	alanyl-tRNA synthetase 2, mitochondrial	AARS2	alanyl-tRNA synthetase 2, mitochondrial
235435_at	0.352	0.199	1.2886339	-6.461323	0.231	AASDH	aminoadipate-semialdehyde dehydrogenase	AASDH	aminoadipate-semialdehyde dehydrogenase
202170_s_at	0.243	0.125	-1.5404255	-6.108495	-0.158	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
214829_at	5.68e-06	9.4e-07	5.053284	4.762306	0.356	AASS	aminoadipate-semialdehyde synthase	AASS	aminoadipate-semialdehyde synthase
1563088_a_at	0.113	0.0497	-1.9741228	-5.35747	-0.318	AATBC	apoptosis associated transcript in bladder cancer	AATBC	apoptosis associated transcript in bladder cancer
209165_at	3.37e-17	1.15e-18	-9.7115341	31.659312	-0.686	AATF	apoptosis antagonizing transcription factor	AATF	apoptosis antagonizing transcription factor
205986_at	0.892	0.81	-0.2410139	-7.259419	-0.0174	AATK	apoptosis associated tyrosine kinase	AATK	apoptosis associated tyrosine kinase
209459_s_at	2.38e-21	4.75e-23	11.1663707	41.642427	2.16	ABAT	4-aminobutyrate aminotransferase	ABAT	4-aminobutyrate aminotransferase
203504_s_at	1.38e-12	8.58e-14	-7.9919972	20.595835	-1.19	ABCA1	ATP binding cassette subfamily A member 1	ABCA1	ATP binding cassette subfamily A member 1
220159_at	1.61e-08	1.77e-09	6.2930851	10.853581	0.596	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene
215465_at	7.48e-11	5.92e-12	-7.2958774	16.434824	-2.26	ABCA12	ATP binding cassette subfamily A member 12	ABCA12	ATP binding cassette subfamily A member 12
1553605_a_at	6.49e-06	1.09e-06	-5.0223581	4.623293	-1.37	ABCA13	ATP binding cassette subfamily A member 13	ABCA13	ATP binding cassette subfamily A member 13
231164_at	0.0384	0.0143	-2.4702078	-4.280562	-0.51	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene
212772_s_at	0.644	0.467	-0.728654	-7.023293	-0.0409	ABCA2	ATP binding cassette subfamily A member 2	ABCA2	ATP binding cassette subfamily A member 2
204343_at	0.471	0.294	1.0515477	-6.73696	0.152	ABCA3	ATP binding cassette subfamily A member 3	ABCA3	ATP binding cassette subfamily A member 3
210082_at	0.162	0.0765	-1.7802471	-5.71544	-0.196	ABCA4	ATP binding cassette subfamily A member 4	ABCA4	ATP binding cassette subfamily A member 4
241705_at	7.37e-12	5.07e-13	7.7040084	18.848595	1.1	ABCA5	ATP binding cassette subfamily A member 5	ABCA5	ATP binding cassette subfamily A member 5
217504_at	3.43e-11	2.57e-12	7.4354963	17.251996	1.02	ABCA6	ATP binding cassette subfamily A member 6	ABCA6	ATP binding cassette subfamily A member 6
219577_s_at	1.47e-05	2.6e-06	4.831458	3.78015	0.434	ABCA7	ATP binding cassette subfamily A member 7	ABCA7	ATP binding cassette subfamily A member 7
204719_at	1.3e-21	2.48e-23	11.2582325	42.286163	3.68	ABCA8	ATP binding cassette subfamily A member 8	ABCA8	ATP binding cassette subfamily A member 8
242541_at	5.33e-16	2.12e-17	9.2781849	28.782046	1.24	ABCA9	ATP binding cassette subfamily A member 9	ABCA9	ATP binding cassette subfamily A member 9
209993_at	4.01e-05	7.68e-06	4.5878369	2.742343	0.445	ABCB1	ATP binding cassette subfamily B member 1	ABCB1	ATP binding cassette subfamily B member 1
223320_s_at	0.792	0.656	0.4458439	-7.189108	0.0431	ABCB10	ATP binding cassette subfamily B member 10	ABCB10	ATP binding cassette subfamily B member 10
211224_s_at	0.542	0.359	-0.9201035	-6.865959	-0.00989	ABCB11	ATP binding cassette subfamily B member 11	ABCB11	ATP binding cassette subfamily B member 11
207819_s_at	1.9e-08	2.11e-09	6.2608216	10.683055	0.601	ABCB4	ATP binding cassette subfamily B member 4	ABCB4	ATP binding cassette subfamily B member 4
209994_s_at	1.04e-12	6.35e-14	8.0402955	20.892238	1.03	ABCB4///ABCB1	ATP binding cassette subfamily B member 4///ATP binding cassette subfamily B member 1	ABCB1///ABCB4	ATP binding cassette subfamily B member 1///ATP binding cassette subfamily B member 4
240717_at	0.137	0.0624	1.8733026	-5.548086	0.031	ABCB5	ATP binding cassette subfamily B member 5	ABCB5	ATP binding cassette subfamily B member 5
203192_at	0.912	0.84	-0.2020319	-7.268054	-0.0307	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)
209620_s_at	7.66e-08	9.37e-09	5.9810887	9.230102	0.346	ABCB7	ATP binding cassette subfamily B member 7	ABCB7	ATP binding cassette subfamily B member 7
229539_at	0.0298	0.0107	2.573742	-4.027095	0.128	ABCB8	ATP binding cassette subfamily B member 8	ABCB8	ATP binding cassette subfamily B member 8
207561_s_at	0.875	0.783	0.2760659	-7.250359	0.00226	ABCB8///ASIC3	ATP binding cassette subfamily B member 8///acid sensing ion channel subunit 3	ASIC3///ABCB8	acid sensing ion channel subunit 3///ATP binding cassette subfamily B member 8
207321_s_at	0.673	0.501	-0.6747659	-7.061023	-0.0304	ABCB9	ATP binding cassette subfamily B member 9	ABCB9	ATP binding cassette subfamily B member 9
202805_s_at	2.04e-12	1.3e-13	-7.9257146	20.190615	-1.13	ABCC1	ATP binding cassette subfamily C member 1	ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)
