ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title
586_at	3.2e-06	1.32e-07	-6.24	7.33569	-2.15	BCAT1	branched chain amino acid transaminase 1	BCAT1	branched chain amino acid transaminase 1
587_at	0.27	0.133	1.53	-5.64281	0.221	BCAT2	branched chain amino acid transaminase 2	BCAT2	branched chain amino acid transaminase 2
56647_at	0.356	0.193	-1.32	-5.93162	-0.181	BCCIP	BRCA2 and CDKN1A interacting protein	BCCIP	BRCA2 and CDKN1A interacting protein
144233_at	0.68	0.504	0.673	-6.5674	0.0929	BCDIN3D	BCDIN3 domain containing RNA methyltransferase	BCDIN3D	BCDIN3 domain containing RNA methyltransferase
590_at	0.961	0.841	-0.202	-6.77431	-0.124	BCHE	butyrylcholinesterase	BCHE	butyrylcholinesterase
593_at	0.00457	0.00089	3.56	-1.17012	0.673	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide
594_at	0.000107	9.84e-06	4.97	3.14228	0.885	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta
10295_at	0.0289	0.00826	-2.76	-3.23966	-0.455	BCKDK	branched chain ketoacid dehydrogenase kinase	BCKDK	branched chain ketoacid dehydrogenase kinase
8915_at	0.75	0.585	0.55	-6.64267	0.0807	BCL10	B-cell CLL/lymphoma 10	BCL10	B-cell CLL/lymphoma 10
53335_at	9.28e-05	8.3e-06	5.02	3.30685	1.5	BCL11A	B-cell CLL/lymphoma 11A	BCL11A	B-cell CLL/lymphoma 11A
64919_at	0.563	0.383	-0.88	-6.40718	-0.231	BCL11B	B-cell CLL/lymphoma 11B	BCL11B	B-cell CLL/lymphoma 11B
596_at	0.431	0.25	1.17	-6.1197	0.0444	BCL2	BCL2, apoptosis regulator	BCL2	BCL2, apoptosis regulator
597_at	0.00809	0.00178	-3.32	-1.82204	-2.07	BCL2A1	BCL2 related protein A1	BCL2A1	BCL2 related protein A1
598_at	0.503	0.317	-1.01	-6.28337	-0.271	BCL2L1	BCL2 like 1	BCL2L1	BCL2 like 1
10017_at	0.281	0.14	-1.5	-5.68372	-0.181	BCL2L10	BCL2 like 10	BCL2L10	BCL2 like 10
10018_at	0.0462	0.0146	-2.54	-3.75678	-0.144	BCL2L11	BCL2 like 11	BCL2L11	BCL2 like 11
83596_at	5.12e-08	7.18e-10	-7.76	12.43238	-1.64	BCL2L12	BCL2 like 12	BCL2L12	BCL2 like 12
23786_at	0.106	0.0405	-2.11	-4.6553	-0.3	BCL2L13	BCL2 like 13	BCL2L13	BCL2 like 13
79370_at	0.667	0.491	-0.694	-6.55327	-0.00198	BCL2L14	BCL2 like 14	BCL2L14	BCL2 like 14
440603_at	0.2	0.0899	1.73	-5.32817	0.0439	BCL2L15	BCL2 like 15	BCL2L15	BCL2 like 15
599_at	0.21	0.0955	1.7	-5.37775	0.229	BCL2L2	BCL2 like 2	BCL2L2	BCL2 like 2
602_at	0.225	0.105	1.66	-5.45138	0.383	BCL3	B-cell CLL/lymphoma 3	BCL3	B-cell CLL/lymphoma 3
604_at	0.0717	0.0251	2.32	-4.23645	0.5	BCL6	B-cell CLL/lymphoma 6	BCL6	B-cell CLL/lymphoma 6
255877_at	0.407	0.232	1.21	-6.0645	0.106	BCL6B	B-cell CLL/lymphoma 6B	BCL6B	B-cell CLL/lymphoma 6B
605_at	0.0673	0.0232	-2.35	-4.16614	-0.255	BCL7A	BCL tumor suppressor 7A	BCL7A	BCL tumor suppressor 7A
9275_at	0.401	0.227	-1.23	-6.04954	-0.143	BCL7B	BCL tumor suppressor 7B	BCL7B	BCL tumor suppressor 7B
9274_at	0.181	0.0792	-1.8	-5.22376	-0.379	BCL7C	BCL tumor suppressor 7C	BCL7C	BCL tumor suppressor 7C
607_at	0.298	0.151	1.46	-5.74534	0.132	BCL9	B-cell CLL/lymphoma 9	BCL9	B-cell CLL/lymphoma 9
283149_at	0.283	0.141	-1.5	-5.68941	-0.149	BCL9L	B-cell CLL/lymphoma 9-like	BCL9L	B-cell CLL/lymphoma 9-like
9774_at	0.015	0.00372	3.06	-2.50728	0.27	BCLAF1	BCL2 associated transcription factor 1	BCLAF1	BCL2 associated transcription factor 1
53630_at	0.48	0.291	1.07	-6.22707	0.242	BCO1	beta-carotene oxygenase 1	BCO1	beta-carotene oxygenase 1
83875_at	1	0.967	0.0419	-6.79396	0.00823	BCO2	beta-carotene oxygenase 2	BCO2	beta-carotene oxygenase 2
54880_at	0.000844	0.000117	4.22	0.76046	0.398	BCOR	BCL6 corepressor	BCOR	BCL6 corepressor
