Updated.gene.symbol	logFC	P.Value
NA	3.92	1.58e-08
A1BG	0.112	0.498
A1CF	-0.0277	0.27
A2M	0.873	0.00208
A2ML1	4.34	9.49e-09
A4GALT	0.0483	0.666
PIGV	0	1
AAAS	0.0884	0.576
AACS	0.482	0.0133
AADAC	3.9	3.29e-08
AADACL2	3.2	5.1e-05
AADACP1	-0.0294	0.936
AADAT	0.0905	0.296
AAED1	-0.885	0.000347
AAGAB	-0.307	0.000339
AAK1	-0.00182	0.492
AAMDC	0.784	2.59e-06
AAMP	-0.0742	0.613
AANAT	8.3e-06	0.997
AAR2	-0.651	0.00107
AARS	-0.806	2.46e-06
AARS2	0.153	0.277
AARSD1	-0.102	0.41
AASDH	0.146	0.404
AASDHPPT	0.173	0.0986
AASS	0.633	5.78e-05
AATF	-0.735	4.69e-05
AATK	-0.157	0.0613
ABAT	0.599	0.00959
ABCA1	-0.548	0.00949
ABCA12	-1.32	0.0368
ABCA13	-1.08	0.00989
ABCA17P	0.145	0.2
ABCA2	0.0222	0.285
ABCA3	0.868	7.11e-07
ABCA4	-0.125	0.1
ABCA5	1.31	6.61e-06
ABCA6	2.78	3.31e-09
ABCA7	0.154	0.217
ABCA8	5.55	3.89e-11
ABCA9	1.27	6.09e-05
ABCB1	1.37	1.35e-07
ABCB10	0.593	5.06e-05
ABCB11	0	1
ABCB4	0.327	0.105
ABCB5	0	1
ABCB6	0.04	0.865
ABCB7	0.241	0.0179
ABCB8	-0.0172	0.154
ABCB9	-0.00017	0.975
ABCC1	-0.503	0.0109
ABCC10	-0.936	7.67e-06
ABCC11	0.00127	0.934
ABCC12	0	1
ABCC13	-0.0155	0.314
ABCC2	-0.00289	0.528
ABCC3	-0.113	0.647
ABCC4	-0.407	0.0146
ABCC5	-0.0074	0.98
ABCC6	0.0174	0.334
ABCC8	0.00391	0.516
ABCC9	0.174	0.262
ABCD1	-0.37	0.00896
ABCD2	0.00176	0.817
ABCD3	0.679	9.1e-05
ABCD4	0.00315	0.789
ABCE1	-0.237	0.0791
ABCF1	-0.613	8.34e-05
ABCF2	0.0311	0.824
ABCF3	-0.768	3.05e-05
ABCG1	-1.04	1.08e-06
ABCG2	0.577	0.0446
ABCG4	-0.0437	0.529
ABCG5	0.00552	0.331
ABCG8	0.000103	0.961
ABHD1	-0.012	0.317
ABHD10	-0.484	0.0103
ABHD11	0.0597	0.628
ABHD12	0.243	0.166
ABHD12B	-0.000161	0.941
ABHD13	0.476	0.000316
ABHD14A	0.821	0.00303
ABHD14B	1.07	2.47e-05
ABHD15	-0.337	0.068
ABHD16A	0.232	0.16
ABHD16B	0	1
ABHD17B	0.338	0.0222
ABHD17C	0.712	0.00411
ABHD18	-0.267	0.11
ABHD2	-0.508	0.00627
ABHD3	-0.244	0.0973
ABHD4	-0.258	0.154
ABHD5	1.02	2.65e-05
ABHD6	0.627	0.00116
ABHD8	-0.0921	0.0602
ABI1	0.0991	0.278
ABI2	-0.0616	0.344
ABI3	0.117	0.508
ABI3BP	3.65	4.89e-08
ABL1	-0.0897	0.735
ABL2	-0.99	2.21e-05
ABLIM1	1.38	6.54e-10
ABLIM2	0.872	0.00273
ABLIM3	1.23	0.00376
ABO	0.00059	0.787
ABR	0.458	0.000316
ABRA	0.575	0.0988
ABRACL	-0.566	0.000694
ABT1	-0.456	0.0727
ABTB1	-0.457	0.0133
ABTB2	-0.0109	0.147
ACAA1	0.809	5.32e-05
ACAA2	1.11	9.97e-06
ACACA	-0.305	0.0726
ACACB	1.55	3.76e-08
ACAD10	0.00113	0.617
ACAD11	0.314	0.0464
ACAD8	0.953	2.38e-05
ACAD9	-0.323	0.0178
ACADL	0.405	0.0372
ACADM	0.714	1.08e-05
ACADS	0.337	0.0123
ACADSB	2.27	2.01e-09
ACADVL	0.99	1.6e-05
ACAN	-0.0198	0.169
ACAP1	0.0518	0.825
ACAP2	-0.159	0.338
ACAT1	1.35	8.11e-09
ACAT2	-0.041	0.831
ACBD3	-0.117	0.288
ACBD4	0.0684	0.0514
ACBD5	0.00873	0.927
ACBD6	-0.133	0.275
ACCS	0.34	0.06
ACD	-0.761	5.41e-05
ACE	0.0124	0.594
ACE2	-0.362	0.405
ACER3	0.0528	0.734
ACHE	0.225	0.327
ACIN1	-0.278	0.0848
ACKR1	4.5	2.7e-08
ACKR2	-0.0207	0.345
ACKR3	-1.46	2.18e-05
ACLY	-1.07	9.58e-09
ACMSD	0.0326	0.327
ACO1	-0.0544	0.796
ACO2	0.318	0.119
ACOT11	0.000358	0.999
ACOT12	-0.00236	0.708
ACOT13	-0.351	0.0241
ACOT4	-0.149	0.515
ACOT6	0	1
ACOT7	-1.43	1.68e-07
ACOT8	-0.268	0.316
ACOT9	-1.14	1.99e-10
ACOX1	0.709	1.74e-05
ACOX2	1.46	2.92e-06
ACOX3	0.668	0.000334
ACOXL	-0.0182	0.719
ACP1	-0.447	0.00335
ACP2	-0.997	1.25e-05
ACP5	-1.82	3.03e-08
ACP6	1.1	0.000152
ACPP	4.4	2.22e-11
ACPT	-0.0865	0.407
