ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
28965_at	1.02e-15	5.71e-20	1.57e+01	34.88953	4.13	SLC27A6	solute carrier family 27 member 6
2053_at	7.15e-14	8.04e-18	1.37e+01	30.19234	3.90	EPHX2	epoxide hydrolase 2
5754_at	1.03e-13	1.74e-17	-1.35e+01	29.45109	-2.53	PTK7	protein tyrosine kinase 7 (inactive)
54097_at	4.89e-13	1.10e-16	1.28e+01	27.68554	5.94	FAM3B	family with sequence similarity 3 member B
25924_at	1.63e-12	5.64e-16	1.22e+01	26.11024	4.00	MYRIP	myosin VIIA and Rab interacting protein
11170_at	1.63e-12	5.65e-16	1.22e+01	26.10915	4.25	FAM107A	family with sequence similarity 107 member A
132724_at	1.63e-12	6.42e-16	1.22e+01	25.9867	8.73	TMPRSS11B	transmembrane protease, serine 11B
3624_at	2.32e-12	1.04e-15	-1.20e+01	25.51636	-5.14	INHBA	inhibin beta A subunit
56937_at	2.49e-12	1.26e-15	-1.19e+01	25.33623	-3.15	PMEPA1	prostate transmembrane protein, androgen induced 1
3131_at	5.27e-12	2.97e-15	1.16e+01	24.50821	4.35	HLF	HLF, PAR bZIP transcription factor
7162_at	5.73e-12	3.54e-15	-1.16e+01	24.33589	-1.63	TPBG	trophoblast glycoprotein
1300_at	7.07e-12	4.77e-15	-1.15e+01	24.04862	-5.97	COL10A1	collagen type X alpha 1 chain
140597_at	1.05e-11	7.65e-15	1.13e+01	23.5908	3.46	TCEAL2	transcription elongation factor A like 2
5212_at	1.17e-11	9.17e-15	1.13e+01	23.41555	4.09	VIT	vitrin
5744_at	1.30e-11	1.13e-14	-1.12e+01	23.21346	-6.05	PTHLH	parathyroid hormone like hormone
285761_at	1.30e-11	1.17e-14	-1.12e+01	23.1811	-3.46	DCBLD1	discoidin, CUB and LCCL domain containing 1
9454_at	2.39e-11	2.29e-14	-1.10e+01	22.52892	-2.84	HOMER3	homer scaffolding protein 3
3918_at	2.80e-11	2.84e-14	-1.09e+01	22.3208	-4.96	LAMC2	laminin subunit gamma 2
285313_at	3.31e-11	3.54e-14	1.08e+01	22.10611	4.14	IGSF10	immunoglobulin superfamily member 10
4118_at	3.70e-11	4.15e-14	1.08e+01	21.95022	8.29	MAL	mal, T-cell differentiation protein
2205_at	4.13e-11	4.88e-14	1.07e+01	21.79366	4.11	FCER1A	Fc fragment of IgE receptor Ia
114915_at	4.13e-11	5.11e-14	1.07e+01	21.74998	1.56	EPB41L4A-AS1	EPB41L4A antisense RNA 1
130497_at	4.18e-11	5.40e-14	1.07e+01	21.69519	1.95	OSR1	odd-skipped related transciption factor 1
55273_at	4.46e-11	6.02e-14	1.06e+01	21.58974	4.57	TMEM100	transmembrane protein 100
2305_at	7.01e-11	9.85e-14	-1.05e+01	21.11182	-3.11	FOXM1	forkhead box M1
1687_at	7.60e-11	1.13e-13	-1.04e+01	20.97925	-3.35	DFNA5	DFNA5, deafness associated tumor suppressor
5328_at	7.60e-11	1.15e-13	-1.04e+01	20.95773	-3.74	PLAU	plasminogen activator, urokinase
4129_at	9.22e-11	1.45e-13	1.04e+01	20.73438	3.90	MAOB	monoamine oxidase B
163351_at	9.63e-11	1.57e-13	1.03e+01	20.65869	3.87	GBP6	guanylate binding protein family member 6
443_at	1.23e-10	2.07e-13	1.03e+01	20.38906	3.43	ASPA	aspartoacylase
116362_at	1.58e-10	2.76e-13	1.02e+01	20.10937	3.56	RBP7	retinol binding protein 7
49860_at	1.68e-10	3.01e-13	1.01e+01	20.02369	8.91	CRNN	cornulin
343450_at	1.77e-10	3.29e-13	1.01e+01	19.9396	3.38	KCNT2	potassium sodium-activated channel subfamily T member 2
64777_at	2.03e-10	3.87e-13	1.01e+01	19.77991	2.07	RMND5B	required for meiotic nuclear division 5 homolog B
6649_at	2.16e-10	4.24e-13	1.00e+01	19.69078	2.65	SOD3	superoxide dismutase 3, extracellular
84627_at	2.25e-10	4.55e-13	-1.00e+01	19.6239	-2.28	ZNF469	zinc finger protein 469
115004_at	2.34e-10	4.87e-13	-9.98	19.55725	-2.63	MB21D1	Mab-21 domain containing 1
