ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
4605_at	2.47e-10	5.33e-13	-9.95	19.46913	-2.71	MYBL2	MYB proto-oncogene like 2
4258_at	2.47e-10	5.41e-13	9.95	19.4538	1.69	MGST2	microsomal glutathione S-transferase 2
25829_at	2.66e-10	5.98e-13	-9.91	19.35636	-1.03	TMEM184B	transmembrane protein 184B
81617_at	2.92e-10	6.74e-13	9.88	19.24066	2.68	CAB39L	calcium binding protein 39 like
8909_at	2.92e-10	6.90e-13	9.87	19.21769	5.55	ENDOU	endonuclease, poly(U) specific
10512_at	3.09e-10	7.55e-13	-9.84	19.13	-2.21	SEMA3C	semaphorin 3C
79650_at	3.09e-10	7.65e-13	-9.84	19.11703	-2.04	USB1	U6 snRNA biogenesis phosphodiesterase 1
2012_at	3.12e-10	7.89e-13	9.83	19.0864	2.16	EMP1	epithelial membrane protein 1
29997_at	3.29e-10	8.51e-13	9.80	19.01266	1.41	GLTSCR2	glioma tumor suppressor candidate region gene 2
5708_at	3.61e-10	9.54e-13	-9.77	18.90151	-1.32	PSMD2	proteasome 26S subunit, non-ATPase 2
4322_at	3.68e-10	9.93e-13	-9.75	18.86229	-6.49	MMP13	matrix metallopeptidase 13
196374_at	3.73e-10	1.03e-12	9.74	18.82956	6.26	KRT78	keratin 78
11226_at	4.22e-10	1.19e-12	-9.70	18.68779	-3.94	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6
5468_at	4.22e-10	1.21e-12	9.69	18.66919	3.06	PPARG	peroxisome proliferator activated receptor gamma
342035_at	4.25e-10	1.27e-12	9.68	18.6255	3.17	GLDN	gliomedin
1675_at	4.25e-10	1.27e-12	9.68	18.62498	4.31	CFD	complement factor D
643008_at	4.54e-10	1.38e-12	9.65	18.54372	3.97	SMIM5	small integral membrane protein 5
9645_at	5.33e-10	1.65e-12	-9.60	18.36963	-1.85	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2
3223_at	5.42e-10	1.72e-12	-9.58	18.32593	-3.72	HOXC6	homeobox C6
340277_at	5.42e-10	1.74e-12	9.58	18.31701	2.16	FAM221A	family with sequence similarity 221 member A
80727_at	5.59e-10	1.82e-12	-9.56	18.27116	-2.36	TTYH3	tweety family member 3
5690_at	5.66e-10	1.91e-12	-9.55	18.2241	-1.35	PSMB2	proteasome subunit beta 2
113130_at	5.66e-10	1.91e-12	-9.55	18.22261	-2.75	CDCA5	cell division cycle associated 5
79783_at	5.66e-10	1.94e-12	-9.54	18.20903	-3.42	SUGCT	succinyl-CoA:glutarate-CoA transferase
5351_at	5.80e-10	2.02e-12	-9.53	18.16941	-1.78	PLOD1	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1
22974_at	5.98e-10	2.12e-12	-9.52	18.12422	-2.79	TPX2	TPX2, microtubule nucleation factor
3977_at	6.17e-10	2.22e-12	9.50	18.07812	2.69	LIFR	leukemia inhibitory factor receptor alpha
55355_at	6.56e-10	2.40e-12	-9.48	18.0039	-2.83	HJURP	Holliday junction recognition protein
1622_at	6.85e-10	2.54e-12	9.46	17.94658	9.26e-01	DBI	diazepam binding inhibitor, acyl-CoA binding protein
6696_at	7.98e-10	3.01e-12	-9.41	17.78276	-6.42	SPP1	secreted phosphoprotein 1
6790_at	8.07e-10	3.08e-12	-9.40	17.75793	-2.58	AURKA	aurora kinase A
6747_at	8.17e-10	3.17e-12	-9.39	17.73098	-1.16	SSR3	signal sequence receptor subunit 3
221091_at	8.23e-10	3.24e-12	9.39	17.70983	3.97	LRRN4CL	LRRN4 C-terminal like
8801_at	8.32e-10	3.32e-12	9.38	17.68578	8.79e-01	SUCLG2	succinate-CoA ligase GDP-forming beta subunit
389328_at	8.61e-10	3.49e-12	9.36	17.63799	3.70	LOC389328	hypothetical LOC389328
55165_at	8.63e-10	3.56e-12	-9.36	17.61728	-2.79	CEP55	centrosomal protein 55
5549_at	8.63e-10	3.62e-12	9.35	17.60202	3.58	PRELP	proline and arginine rich end leucine rich repeat protein
2590_at	8.63e-10	3.68e-12	-9.35	17.58608	-1.65	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2
219348_at	8.63e-10	3.69e-12	9.35	17.58387	4.49	PLAC9	placenta specific 9
145781_at	8.81e-10	3.81e-12	9.34	17.55101	4.28	GCOM1	GRINL1A complex locus 1
56920_at	9.53e-10	4.20e-12	9.31	17.45586	3.45	SEMA3G	semaphorin 3G
50509_at	9.53e-10	4.23e-12	-9.30	17.44884	-2.45	COL5A3	collagen type V alpha 3 chain
4323_at	9.79e-10	4.40e-12	-9.29	17.41016	-2.75	MMP14	matrix metallopeptidase 14
7045_at	1.00e-09	4.56e-12	-9.28	17.37591	-1.96	TGFBI	transforming growth factor beta induced
1577_at	1.12e-09	5.15e-12	9.24	17.25723	4.62	CYP3A5	cytochrome P450 family 3 subfamily A member 5
3851_at	1.14e-09	5.33e-12	9.23	17.22332	8.72	KRT4	keratin 4
6358_at	1.24e-09	5.86e-12	9.20	17.1316	4.87	CCL14	C-C motif chemokine ligand 14
9636_at	1.25e-09	6.03e-12	-9.19	17.10362	-3.71	ISG15	ISG15 ubiquitin-like modifier
5354_at	1.25e-09	6.04e-12	9.19	17.10251	4.19	PLP1	proteolipid protein 1
83461_at	1.27e-09	6.23e-12	-9.18	17.07108	-2.37	CDCA3	cell division cycle associated 3
125_at	1.36e-09	6.77e-12	9.16	16.99108	6.82	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
6542_at	1.36e-09	6.79e-12	9.16	16.98773	1.83	SLC7A2	solute carrier family 7 member 2
171425_at	1.36e-09	6.88e-12	9.15	16.97517	2.15	CLYBL	citrate lyase beta like
332_at	1.43e-09	7.30e-12	-9.14	16.91695	-2.58	BIRC5	baculoviral IAP repeat containing 5
64175_at	1.44e-09	7.43e-12	-9.13	16.89928	-2.12	P3H1	prolyl 3-hydroxylase 1
9928_at	1.53e-09	8.00e-12	-9.11	16.82727	-2.94	KIF14	kinesin family member 14
3667_at	1.57e-09	8.39e-12	-9.09	16.78149	-1.78	IRS1	insulin receptor substrate 1
7123_at	1.57e-09	8.45e-12	9.09	16.7739	4.40	CLEC3B	C-type lectin domain family 3 member B
83886_at	1.57e-09	8.47e-12	9.09	16.77139	4.87	PRSS27	protease, serine 27
83992_at	1.60e-09	8.89e-12	9.08	16.72468	2.92	CTTNBP2	cortactin binding protein 2
23213_at	1.60e-09	8.89e-12	-9.08	16.72411	-3.20	SULF1	sulfatase 1
79919_at	1.60e-09	8.93e-12	9.07	16.71986	2.93	C2orf54	chromosome 2 open reading frame 54
4321_at	1.62e-09	9.14e-12	-9.07	16.69748	-7.00	MMP12	matrix metallopeptidase 12
113115_at	1.62e-09	9.17e-12	-9.07	16.69409	-2.71	MTFR2	mitochondrial fission regulator 2
3198_at	1.64e-09	9.40e-12	-9.06	16.66969	-3.20	HOXA1	homeobox A1
85477_at	1.73e-09	1.00e-11	9.04	16.60963	3.16	SCIN	scinderin
6591_at	1.85e-09	1.08e-11	-9.02	16.53416	-1.75	SNAI2	snail family transcriptional repressor 2
4319_at	1.93e-09	1.14e-11	-9.00	16.48464	-6.82	MMP10	matrix metallopeptidase 10
66002_at	2.24e-09	1.34e-11	8.95	16.32536	3.36	CYP4F12	cytochrome P450 family 4 subfamily F member 12
813_at	2.34e-09	1.41e-11	-8.94	16.27499	-1.74	CALU	calumenin
1894_at	2.46e-09	1.49e-11	-8.92	16.21702	-2.19	ECT2	epithelial cell transforming 2
23328_at	2.48e-09	1.52e-11	8.91	16.19997	2.41	SASH1	SAM and SH3 domain containing 1
51185_at	2.66e-09	1.65e-11	8.89	16.12277	1.12	CRBN	cereblon
55061_at	2.66e-09	1.67e-11	8.88	16.10931	3.51	SUSD4	sushi domain containing 4
9045_at	2.66e-09	1.68e-11	8.88	16.10523	7.90e-01	RPL14	ribosomal protein L14
1301_at	3.11e-09	1.98e-11	-8.83	15.9432	-5.81	COL11A1	collagen type XI alpha 1 chain
7053_at	3.20e-09	2.05e-11	8.82	15.90682	7.14	TGM3	transglutaminase 3
7049_at	3.27e-09	2.11e-11	8.81	15.87988	4.31	TGFBR3	transforming growth factor beta receptor 3
55_at	3.40e-09	2.22e-11	8.80	15.83102	4.40	ACPP	acid phosphatase, prostate
79875_at	3.46e-09	2.29e-11	8.79	15.80084	1.34	THSD4	thrombospondin type 1 domain containing 4
169166_at	3.46e-09	2.30e-11	8.79	15.79716	3.91	SNX31	sorting nexin 31
4430_at	3.64e-09	2.44e-11	-8.77	15.73962	-2.43	MYO1B	myosin IB
81831_at	4.02e-09	2.71e-11	-8.74	15.63594	-3.07	NETO2	neuropilin and tolloid like 2
388815_at	4.35e-09	2.96e-11	8.71	15.5492	1.86	MIR99AHG	mir-99a-let-7c cluster host gene
11343_at	4.42e-09	3.03e-11	8.70	15.52665	2.13	MGLL	monoglyceride lipase
7083_at	4.48e-09	3.09e-11	-8.70	15.50601	-2.29	TK1	thymidine kinase 1
29967_at	4.48e-09	3.12e-11	-8.69	15.49752	-2.25	LRP12	LDL receptor related protein 12
84417_at	4.57e-09	3.21e-11	8.68	15.46913	4.03	C2orf40	chromosome 2 open reading frame 40
8436_at	4.81e-09	3.44e-11	8.66	15.40156	3.07	SDPR	serum deprivation response
148741_at	4.81e-09	3.45e-11	8.66	15.39956	3.25	ANKRD35	ankyrin repeat domain 35
8318_at	4.81e-09	3.46e-11	-8.66	15.39594	-2.57	CDC45	cell division cycle 45
55022_at	4.90e-09	3.55e-11	8.65	15.3719	1.27	PID1	phosphotyrosine interaction domain containing 1
3400_at	4.95e-09	3.62e-11	8.65	15.35375	2.32	ID4	inhibitor of DNA binding 4, HLH protein
6999_at	5.08e-09	3.74e-11	-8.64	15.32051	-4.67	TDO2	tryptophan 2,3-dioxygenase
83699_at	5.11e-09	3.79e-11	8.63	15.30694	3.42	SH3BGRL2	SH3 domain binding glutamate rich protein like 2
339761_at	5.16e-09	3.86e-11	-8.63	15.28921	-3.26	CYP27C1	cytochrome P450 family 27 subfamily C member 1
10351_at	5.16e-09	3.89e-11	8.63	15.28331	5.55	ABCA8	ATP binding cassette subfamily A member 8
3248_at	5.24e-09	4.00e-11	8.62	15.25569	4.23	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)
10284_at	5.24e-09	4.01e-11	8.62	15.25352	1.16	SAP18	Sin3A associated protein 18
5083_at	5.45e-09	4.20e-11	8.60	15.20792	3.66	PAX9	paired box 9
8914_at	5.70e-09	4.42e-11	-8.59	15.15677	-1.84	TIMELESS	timeless circadian clock
1294_at	6.02e-09	4.70e-11	-8.57	15.09692	-2.49	COL7A1	collagen type VII alpha 1 chain
115908_at	6.57e-09	5.17e-11	-8.54	15.00452	-3.89	CTHRC1	collagen triple helix repeat containing 1
2335_at	6.71e-09	5.32e-11	-8.53	14.97683	-2.48	FN1	fibronectin 1
6229_at	6.73e-09	5.38e-11	8.53	14.96599	3.99e-01	RPS24	ribosomal protein S24
223_at	6.73e-09	5.41e-11	8.53	14.96088	1.35	ALDH9A1	aldehyde dehydrogenase 9 family member A1
91689_at	6.76e-09	5.47e-11	8.52	14.94878	1.28	SMDT1	single-pass membrane protein with aspartate rich tail 1
9068_at	6.89e-09	5.64e-11	8.52	14.92002	4.66	ANGPTL1	angiopoietin like 1
121457_at	6.89e-09	5.66e-11	-8.51	14.91647	-1.70	IKBIP	IKBKB interacting protein
79656_at	6.98e-09	5.77e-11	8.51	14.89747	1.62	BEND5	BEN domain containing 5
990_at	6.99e-09	5.82e-11	-8.51	14.88929	-3.47	CDC6	cell division cycle 6
84952_at	7.25e-09	6.11e-11	8.49	14.84201	3.83	CGNL1	cingulin like 1
871_at	7.25e-09	6.11e-11	-8.49	14.84103	-2.42	SERPINH1	serpin family H member 1
2949_at	7.30e-09	6.20e-11	8.49	14.8269	1.88	GSTM5	glutathione S-transferase mu 5
3075_at	7.55e-09	6.48e-11	8.47	14.78455	2.29	CFH	complement factor H
5507_at	7.55e-09	6.50e-11	8.47	14.7815	3.89	PPP1R3C	protein phosphatase 1 regulatory subunit 3C
92745_at	8.03e-09	6.95e-11	-8.45	14.7156	-3.55	SLC38A5	solute carrier family 38 member 5
23635_at	8.14e-09	7.09e-11	8.45	14.69581	2.01	SSBP2	single stranded DNA binding protein 2
23171_at	8.29e-09	7.28e-11	8.44	14.67046	3.51	GPD1L	glycerol-3-phosphate dehydrogenase 1-like
9805_at	8.29e-09	7.32e-11	-8.44	14.66473	-1.73	SCRN1	secernin 1
2201_at	8.51e-09	7.56e-11	-8.43	14.63272	-3.69	FBN2	fibrillin 2
84525_at	8.66e-09	7.74e-11	8.42	14.60978	3.23	HOPX	HOP homeobox
9212_at	8.75e-09	7.87e-11	-8.42	14.59339	-3.13	AURKB	aurora kinase B
7837_at	8.77e-09	7.93e-11	-8.41	14.58583	-2.96	PXDN	peroxidasin
8038_at	9.49e-09	8.64e-11	-8.39	14.50257	-2.34	ADAM12	ADAM metallopeptidase domain 12
6624_at	9.67e-09	8.86e-11	-8.38	14.47802	-2.46	FSCN1	fascin actin-bundling protein 1
11004_at	1.00e-08	9.24e-11	-8.37	14.437	-2.74	KIF2C	kinesin family member 2C
80145_at	1.11e-08	1.03e-10	8.33	14.33123	6.86e-01	THOC7	THO complex 7
80328_at	1.17e-08	1.09e-10	-8.32	14.27595	-2.85	ULBP2	UL16 binding protein 2
131177_at	1.24e-08	1.17e-10	8.30	14.20757	5.26	FAM3D	family with sequence similarity 3 member D
4312_at	1.26e-08	1.19e-10	-8.29	14.19076	-7.05	MMP1	matrix metallopeptidase 1
9737_at	1.26e-08	1.19e-10	8.29	14.18681	2.19	GPRASP1	G protein-coupled receptor associated sorting protein 1
2195_at	1.33e-08	1.27e-10	-8.27	14.12684	-2.03	FAT1	FAT atypical cadherin 1
90102_at	1.35e-08	1.30e-10	-8.27	14.10446	-1.85	PHLDB2	pleckstrin homology like domain family B member 2
699_at	1.35e-08	1.30e-10	-8.26	14.10203	-2.62	BUB1	BUB1 mitotic checkpoint serine/threonine kinase
5307_at	1.35e-08	1.32e-10	8.26	14.09187	3.30	PITX1	paired like homeodomain 1
6491_at	1.37e-08	1.34e-10	-8.26	14.07297	-2.00	STIL	SCL/TAL1 interrupting locus
5352_at	1.37e-08	1.35e-10	-8.25	14.06903	-2.09	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
9156_at	1.42e-08	1.41e-10	-8.24	14.02554	-2.55	EXO1	exonuclease 1
1303_at	1.42e-08	1.41e-10	-8.24	14.02383	-2.48	COL12A1	collagen type XII alpha 1 chain
3927_at	1.48e-08	1.48e-10	-8.23	13.97717	-8.12e-01	LASP1	LIM and SH3 protein 1
9145_at	1.51e-08	1.52e-10	8.22	13.95204	9.23e-01	SYNGR1	synaptogyrin 1
388335_at	1.53e-08	1.55e-10	8.21	13.93012	2.39	TMEM220	transmembrane protein 220
24137_at	1.59e-08	1.62e-10	-8.20	13.89011	-2.72	KIF4A	kinesin family member 4A
10632_at	1.59e-08	1.63e-10	8.20	13.88488	9.20e-01	ATP5L	ATP synthase, H+ transporting, mitochondrial Fo complex subunit G
1289_at	1.61e-08	1.65e-10	-8.19	13.8681	-3.30	COL5A1	collagen type V alpha 1 chain
1290_at	1.63e-08	1.68e-10	-8.19	13.85054	-2.74	COL5A2	collagen type V alpha 2 chain
91694_at	1.73e-08	1.80e-10	8.17	13.78518	1.49	LONRF1	LON peptidase N-terminal domain and ring finger 1
132299_at	1.76e-08	1.84e-10	-8.16	13.76169	-1.72	OCIAD2	OCIA domain containing 2
1058_at	1.78e-08	1.87e-10	-8.16	13.74845	-2.26	CENPA	centromere protein A
153579_at	1.87e-08	1.98e-10	8.14	13.69374	2.65	BTNL9	butyrophilin like 9
23597_at	1.88e-08	1.99e-10	-8.14	13.68469	-1.14	ACOT9	acyl-CoA thioesterase 9
79625_at	2.05e-08	2.19e-10	8.11	13.59117	3.61	NDNF	neuron derived neurotrophic factor
8991_at	2.34e-08	2.51e-10	8.07	13.45984	2.85	SELENBP1	selenium binding protein 1
64778_at	2.34e-08	2.52e-10	-8.07	13.45412	-1.61	FNDC3B	fibronectin type III domain containing 3B
11244_at	2.34e-08	2.54e-10	8.07	13.44877	1.13	ZHX1	zinc fingers and homeoboxes 1
11065_at	2.35e-08	2.56e-10	-8.06	13.43972	-2.17	UBE2C	ubiquitin conjugating enzyme E2 C
1915_at	2.36e-08	2.58e-10	8.06	13.43141	1.47	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
4320_at	2.48e-08	2.75e-10	-8.04	13.37093	-3.56	MMP11	matrix metallopeptidase 11
9213_at	2.48e-08	2.75e-10	-8.04	13.37034	-1.68	XPR1	xenotropic and polytropic retrovirus receptor 1
57579_at	2.55e-08	2.84e-10	8.03	13.33916	1.44	FAM135A	family with sequence similarity 135 member A
79762_at	2.55e-08	2.85e-10	8.03	13.33575	2.80	C1orf115	chromosome 1 open reading frame 115
11185_at	2.56e-08	2.88e-10	8.03	13.32674	2.81	INMT	indolethylamine N-methyltransferase
1580_at	2.57e-08	2.90e-10	8.03	13.31884	2.89	CYP4B1	cytochrome P450 family 4 subfamily B member 1
51386_at	2.69e-08	3.06e-10	8.01	13.26546	6.78e-01	EIF3L	eukaryotic translation initiation factor 3 subunit L
7292_at	2.69e-08	3.07e-10	-8.01	13.26269	-3.09	TNFSF4	tumor necrosis factor superfamily member 4
7941_at	2.70e-08	3.10e-10	-8.01	13.25299	-3.63	PLA2G7	phospholipase A2 group VII
114904_at	2.71e-08	3.12e-10	-8.01	13.24783	-2.63	C1QTNF6	C1q and tumor necrosis factor related protein 6
3675_at	2.74e-08	3.17e-10	-8.00	13.23017	-2.40	ITGA3	integrin subunit alpha 3
9413_at	2.86e-08	3.33e-10	7.99	13.18473	2.26	FAM189A2	family with sequence similarity 189 member A2
1350_at	3.02e-08	3.53e-10	7.97	13.12614	1.14	COX7C	cytochrome c oxidase subunit 7C
728453_at	3.04e-08	3.58e-10	7.96	13.11376	7.54e-01	RPS28P6	ribosomal protein S28 pseudogene 6
151987_at	3.06e-08	3.62e-10	7.96	13.10224	2.43	PPP4R2	protein phosphatase 4 regulatory subunit 2
2588_at	3.06e-08	3.66e-10	-7.96	13.09125	-1.45	GALNS	galactosamine (N-acetyl)-6-sulfatase
5738_at	3.06e-08	3.66e-10	-7.96	13.09089	-1.49	PTGFRN	prostaglandin F2 receptor inhibitor
6138_at	3.06e-08	3.66e-10	7.96	13.09078	9.50e-01	RPL15	ribosomal protein L15
79852_at	3.08e-08	3.71e-10	7.95	13.07764	3.12	EPHX3	epoxide hydrolase 3
220134_at	3.10e-08	3.75e-10	-7.95	13.06719	-3.06	SKA1	spindle and kinetochore associated complex subunit 1
1062_at	3.22e-08	3.91e-10	-7.94	13.02602	-2.43	CENPE	centromere protein E
2191_at	3.26e-08	3.98e-10	-7.93	13.0089	-4.43	FAP	fibroblast activation protein alpha
3866_at	3.28e-08	4.01e-10	7.93	13.00059	2.90	KRT15	keratin 15
375790_at	3.29e-08	4.06e-10	-7.93	12.99061	-1.12	AGRN	agrin
171024_at	3.40e-08	4.21e-10	7.92	12.95419	2.18	SYNPO2	synaptopodin 2
10652_at	3.51e-08	4.36e-10	-7.91	12.92046	-1.40	YKT6	YKT6 v-SNARE homolog (S. cerevisiae)
9833_at	3.56e-08	4.45e-10	-7.90	12.90001	-2.21	MELK	maternal embryonic leucine zipper kinase
5493_at	3.57e-08	4.48e-10	7.90	12.89292	3.70	PPL	periplakin
3486_at	3.65e-08	4.60e-10	-7.89	12.86791	-2.08	IGFBP3	insulin like growth factor binding protein 3
2662_at	3.66e-08	4.62e-10	7.89	12.86239	3.72	GDF10	growth differentiation factor 10
11169_at	3.70e-08	4.70e-10	-7.88	12.84631	-2.46	WDHD1	WD repeat and HMG-box DNA binding protein 1
144406_at	3.73e-08	4.76e-10	-7.88	12.83305	-3.61	WDR66	WD repeat domain 66
79801_at	3.77e-08	4.83e-10	-7.88	12.81894	-2.53	SHCBP1	SHC binding and spindle associated 1
2628_at	3.78e-08	4.89e-10	7.87	12.80835	3.38	GATM	glycine amidinotransferase
10535_at	3.78e-08	4.89e-10	-7.87	12.80726	-2.30	RNASEH2A	ribonuclease H2 subunit A
55143_at	3.79e-08	4.93e-10	-7.87	12.79998	-2.67	CDCA8	cell division cycle associated 8
28513_at	3.88e-08	5.07e-10	7.86	12.77161	2.38	CDH19	cadherin 19
51660_at	3.88e-08	5.09e-10	7.86	12.7689	1.34	MPC1	mitochondrial pyruvate carrier 1
3615_at	4.09e-08	5.38e-10	7.84	12.71419	9.68e-01	IMPDH2	inosine monophosphate dehydrogenase 2
51015_at	4.26e-08	5.63e-10	7.83	12.6693	1.20	ISOC1	isochorismatase domain containing 1
79960_at	4.37e-08	5.80e-10	7.82	12.64125	1.57	JADE1	jade family PHD finger 1
57228_at	4.58e-08	6.10e-10	7.81	12.5907	1.78	SMAGP	small cell adhesion glycoprotein
730241_at	4.67e-08	6.25e-10	7.80	12.56707	2.39		
285195_at	4.69e-08	6.30e-10	7.80	12.56018	1.72	SLC9A9	solute carrier family 9 member A9
150468_at	4.80e-08	6.47e-10	-7.79	12.533	-2.85	CKAP2L	cytoskeleton associated protein 2 like
5947_at	4.81e-08	6.51e-10	-7.79	12.52711	-3.28	RBP1	retinol binding protein 1
3983_at	4.81e-08	6.54e-10	7.79	12.52252	1.38	ABLIM1	actin binding LIM protein 1
79581_at	4.84e-08	6.61e-10	-7.78	12.51269	-1.67	SLC52A2	solute carrier family 52 member 2
92140_at	4.87e-08	6.71e-10	-7.78	12.49755	-6.78e-01	MTDH	metadherin
2252_at	4.87e-08	6.71e-10	7.78	12.49748	3.73	FGF7	fibroblast growth factor 7
3371_at	4.88e-08	6.75e-10	-7.78	12.49294	-2.46	TNC	tenascin C
634_at	5.01e-08	6.96e-10	7.77	12.46286	3.70	CEACAM1	carcinoembryonic antigen related cell adhesion molecule 1
4017_at	5.03e-08	7.02e-10	-7.77	12.45421	-2.19	LOXL2	lysyl oxidase like 2
83596_at	5.12e-08	7.18e-10	-7.76	12.43238	-1.64	BCL2L12	BCL2 like 12
4288_at	5.12e-08	7.22e-10	-7.76	12.42668	-1.85	MKI67	marker of proliferation Ki-67
4651_at	5.12e-08	7.23e-10	-7.76	12.42559	-1.61	MYO10	myosin X
2110_at	5.39e-08	7.64e-10	7.74	12.37116	1.64	ETFDH	electron transfer flavoprotein dehydrogenase
258010_at	5.91e-08	8.41e-10	7.71	12.27743	2.49	SVIP	small VCP interacting protein
57402_at	5.96e-08	8.51e-10	7.71	12.26504	1.75	S100A14	S100 calcium binding protein A14
80237_at	6.02e-08	8.63e-10	7.70	12.25139	2.07	ELL3	elongation factor for RNA polymerase II 3
54543_at	6.17e-08	8.88e-10	7.70	12.2242	7.21e-01	TOMM7	translocase of outer mitochondrial membrane 7
23397_at	6.17e-08	8.91e-10	-7.70	12.22058	-2.46	NCAPH	non-SMC condensin I complex subunit H
218_at	6.19e-08	8.98e-10	7.69	12.21304	4.74	ALDH3A1	aldehyde dehydrogenase 3 family member A1
387882_at	6.35e-08	9.24e-10	-7.68	12.18467	-1.83	C12orf75	chromosome 12 open reading frame 75
11005_at	6.54e-08	9.56e-10	7.67	12.15155	5.89	SPINK5	serine peptidase inhibitor, Kazal type 5
10194_at	6.71e-08	9.84e-10	7.67	12.12357	1.06	TSHZ1	teashirt zinc finger homeobox 1
131_at	6.83e-08	1.01e-09	7.66	12.10195	5.09	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
