ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
41141_at	4.25e-02	2.03e-02	2.3833236	-3.982397	0.31881254	THAP12	THAP domain containing 12
41290_at	4.25e-02	2.04e-02	2.3827812	-3.983578	0.69047419	NCAM1	neural cell adhesion molecule 1
37120_at	4.26e-02	2.04e-02	2.3821375	-3.984979	0.85186329	TKTL1	transketolase like 1
37901_at	4.26e-02	2.04e-02	-2.3815494	-3.986259	-0.53103763	PIK3R4	phosphoinositide-3-kinase regulatory subunit 4
35700_at	4.28e-02	2.05e-02	2.379717	-3.990245	0.57732122	CHD2	chromodomain helicase DNA binding protein 2
542_at	4.29e-02	2.06e-02	2.378765	-3.992315	0.90923342	CRABP1	cellular retinoic acid binding protein 1
37880_at	4.29e-02	2.06e-02	-2.378685	-3.992489	-0.62524018	AGXT	alanine-glyoxylate aminotransferase
903_at	4.29e-02	2.06e-02	2.3783369	-3.993246	0.28945256	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha
31420_at	4.29e-02	2.06e-02	2.3781613	-3.993627	0.41419457		
37794_at	4.30e-02	2.06e-02	2.3779689	-3.994045	0.40083848	LOC155060	AI894139 pseudogene
37957_at	4.30e-02	2.06e-02	2.3778268	-3.994354	0.55080712	ATG4A	autophagy related 4A cysteine peptidase
34780_at	4.30e-02	2.06e-02	-2.3772777	-3.995547	-0.45960165	PLXNB2	plexin B2
36372_at	4.30e-02	2.06e-02	2.3772534	-3.9956	0.57727675	HK3	hexokinase 3
1077_at	4.30e-02	2.07e-02	2.3769542	-3.99625	0.90438164	RAG1	recombination activating gene 1
39871_at	4.31e-02	2.07e-02	2.376573	-3.997078	0.67507562	RBMXL2	RNA binding motif protein, X-linked like 2
37401_g_at	4.31e-02	2.07e-02	2.3757772	-3.998807	0.72071024	TRAK1	trafficking kinesin protein 1
36990_at	4.31e-02	2.07e-02	2.3757537	-3.998858	0.92465023	UCHL1	ubiquitin C-terminal hydrolase L1
36523_at	4.31e-02	2.07e-02	2.375678	-3.999022	0.49367725	ATP7A	ATPase copper transporting alpha
37154_at	4.32e-02	2.08e-02	-2.3751699	-4.000126	-0.62651977	PCDH17	protocadherin 17
33769_at	4.32e-02	2.08e-02	-2.3749646	-4.000571	-0.38937718	MPZL1	myelin protein zero like 1
41430_at	4.32e-02	2.08e-02	2.3747956	-4.000938	0.31320329	WDR7	WD repeat domain 7
31628_at	4.32e-02	2.08e-02	2.3747585	-4.001019	0.90757549	SLC15A1	solute carrier family 15 member 1
40781_at	4.32e-02	2.08e-02	2.3746447	-4.001266	0.65328803	AKT3	AKT serine/threonine kinase 3
34806_at	4.32e-02	2.08e-02	2.374421	-4.001752	0.40158181	PTGDR2	prostaglandin D2 receptor 2
41329_at	4.33e-02	2.08e-02	2.3736466	-4.003432	0.2914959	SCYL3	SCY1 like pseudokinase 3
39276_g_at	4.33e-02	2.08e-02	2.3735541	-4.003633	0.55393546	CACNA1D	calcium voltage-gated channel subunit alpha1 D
35915_at	4.33e-02	2.08e-02	2.3735034	-4.003743	0.52066275	INHBC	inhibin beta C subunit
32798_at	4.33e-02	2.09e-02	2.3732728	-4.004244	1.02207449	GSTM3	glutathione S-transferase mu 3
34598_at	4.33e-02	2.09e-02	2.3732138	-4.004372	0.88539975	TNR	tenascin R
38078_at	4.33e-02	2.09e-02	-2.3731125	-4.004591	-0.44585834	FLNB	filamin B
39176_f_at	4.34e-02	2.09e-02	2.3725361	-4.005842	0.75300645	CEL	carboxyl ester lipase
36365_at	4.34e-02	2.09e-02	2.3723623	-4.006219	0.7024263	TRPC6	transient receptor potential cation channel subfamily C member 6
34633_s_at	4.34e-02	2.09e-02	2.3722786	-4.0064	0.56356888	GP5	glycoprotein V platelet
41379_at	4.34e-02	2.09e-02	2.3722368	-4.006491	0.28807444	SMC5	structural maintenance of chromosomes 5
38760_f_at	4.34e-02	2.09e-02	-2.3720219	-4.006957	-0.63741236	BTN3A2	butyrophilin subfamily 3 member A2
33024_at	4.35e-02	2.10e-02	2.3713558	-4.008402	0.58295806	CMA1	chymase 1
34369_at	4.35e-02	2.10e-02	2.3712998	-4.008523	0.33500024	MFN2	mitofusin 2
41759_at	4.35e-02	2.10e-02	2.3712659	-4.008597	0.42158946	SKP1	S-phase kinase-associated protein 1
39326_at	4.36e-02	2.10e-02	2.3699757	-4.011394	0.58650142	ATP6V0A1	ATPase H+ transporting V0 subunit a1
31352_at	4.37e-02	2.10e-02	2.3694929	-4.01244	0.89964014	RNASE1	ribonuclease A family member 1, pancreatic
41336_at	4.37e-02	2.11e-02	2.3693928	-4.012657	0.77377519	NSL1	NSL1, MIS12 kinetochore complex component
35982_at	4.37e-02	2.11e-02	2.3689922	-4.013525	1.3002203	HSPB3	heat shock protein family B (small) member 3
1232_s_at	4.37e-02	2.11e-02	2.3686946	-4.01417	0.52661023	IGFBP1	insulin like growth factor binding protein 1
38051_at	4.37e-02	2.11e-02	2.3686377	-4.014293	1.50477916	MAL	mal, T-cell differentiation protein
31514_at	4.38e-02	2.11e-02	2.3680497	-4.015567	0.58174041	DOK2	docking protein 2
41376_i_at	4.39e-02	2.12e-02	2.3670718	-4.017684	0.97120139	UGT2B7	UDP glucuronosyltransferase family 2 member B7
35893_s_at	4.39e-02	2.12e-02	2.3666165	-4.01867	0.89760121	CR1	complement component 3b/4b receptor 1 (Knops blood group)
1263_at	4.39e-02	2.12e-02	2.3663367	-4.019276	0.51859026	IL3	interleukin 3
32115_r_at	4.40e-02	2.12e-02	-2.3658481	-4.020333	-0.61768377	SPECC1L-ADORA2A///ADORA2A	SPECC1L-ADORA2A readthrough (NMD candidate)///adenosine A2a receptor
37669_s_at	4.41e-02	2.13e-02	2.3651233	-4.021902	0.57609579	ATP1B1	ATPase Na+/K+ transporting subunit beta 1
31928_at	4.41e-02	2.13e-02	2.3648539	-4.022485	0.60289079	FGF6	fibroblast growth factor 6
33729_at	4.41e-02	2.13e-02	-2.3648196	-4.022559	-0.63173065	SLC25A14	solute carrier family 25 member 14
37675_at	4.41e-02	2.13e-02	2.3644453	-4.023368	0.40393308	SLC25A3	solute carrier family 25 member 3
31913_at	4.41e-02	2.13e-02	2.364366	-4.02354	0.583218	ELF5	E74 like ETS transcription factor 5
147_at	4.41e-02	2.13e-02	-2.3643414	-4.023593	-0.37811162	TSG101	tumor susceptibility 101
36588_at	4.41e-02	2.13e-02	2.3640389	-4.024247	0.32365668	SUN1	Sad1 and UNC84 domain containing 1
AFFX-LysX-M_at	4.42e-02	2.14e-02	2.3630436	-4.0264	0.80762498		
1254_at	4.42e-02	2.14e-02	2.3630103	-4.026472	0.49181408	GUCA1A	guanylate cyclase activator 1A
1612_s_at	4.42e-02	2.14e-02	2.3628594	-4.026798	0.36239819	JUND	JunD proto-oncogene, AP-1 transcription factor subunit
38885_at	4.42e-02	2.14e-02	2.3628109	-4.026903	0.59052404	DNA2	DNA replication helicase/nuclease 2
41605_at	4.42e-02	2.14e-02	2.3627715	-4.026988	0.60826073	RALGAPB	Ral GTPase activating protein non-catalytic beta subunit
37301_at	4.42e-02	2.14e-02	2.3627697	-4.026992	0.56715313	PRKCB	protein kinase C beta
36626_at	4.42e-02	2.14e-02	2.3625986	-4.027362	0.32689348	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4
32493_at	4.43e-02	2.14e-02	2.3623619	-4.027873	0.65874631	TEF	TEF, PAR bZIP transcription factor
39800_s_at	4.43e-02	2.14e-02	2.3621985	-4.028227	0.38249335	HAX1	HCLS1 associated protein X-1
35117_at	4.43e-02	2.14e-02	2.3619993	-4.028657	0.55373471	ELOVL5	ELOVL fatty acid elongase 5
37490_at	4.43e-02	2.14e-02	2.3619281	-4.028811	0.3143486	SLC4A3	solute carrier family 4 member 3
36655_at	4.43e-02	2.14e-02	-2.36182	-4.029045	-0.51122449	TJP2	tight junction protein 2
633_s_at	4.43e-02	2.15e-02	2.3616502	-4.029412	0.32826642	TFDP2	transcription factor Dp-2
37955_at	4.43e-02	2.15e-02	-2.3615614	-4.029604	-0.35380342	CNPY2	canopy FGF signaling regulator 2
33745_at	4.43e-02	2.15e-02	-2.3613	-4.030169	-0.58151176	PHKG2	phosphorylase kinase catalytic subunit gamma 2
34564_at	4.43e-02	2.15e-02	2.3610544	-4.030699	0.68978666	EPHA5	EPH receptor A5
37621_at	4.44e-02	2.15e-02	2.360444	-4.032018	0.66018228	IL6ST	interleukin 6 signal transducer
31764_at	4.44e-02	2.15e-02	2.3602861	-4.032359	0.95575178	ADGRV1	adhesion G protein-coupled receptor V1
41582_at	4.44e-02	2.15e-02	2.3599211	-4.033147	0.60024325	AVIL	advillin
40022_at	4.44e-02	2.16e-02	-2.3597567	-4.033502	-0.56493066	FKTN	fukutin
41450_at	4.44e-02	2.16e-02	-2.3597127	-4.033598	-0.37217166	SAR1A	secretion associated Ras related GTPase 1A
