Updated.gene.symbol	logFC	P.Value
ERG	0.69308637	2.99e-05
ERGIC3	-0.60615268	0.0112
ERH	-0.7326578	5.72e-06
ERI2	-0.09679713	0.672
ERI3	-0.37303237	0.0321
ERICH1	0.40380283	0.0169
ERLIN1	-0.47208668	0.0411
ERLIN2	0.55976775	0.0243
ERN1	0.08734813	0.653
ERP29	-0.18731642	0.217
ERP44	-0.30450147	0.256
ERV9-1	0.47838264	0.0194
ERVH-1	0.97442915	0.000459
ERVH-6	0.79828379	0.058
ERVK-19///ERVK-9///ERVK-4	-0.73160671	0.00534
ERVK-7	-0.0796823	0.593
ERVW-1	0.47780418	0.119
ESD	0.140713	0.244
ESM1	-0.6598921	0.117
ESPL1	0.20034591	0.435
ESR1	0.86061478	0.00417
ESR2	0.759252	0.00712
ESRRA	0.52391474	1.72e-06
ESRRB	0.54361527	0.0148
ESRRG	2.30000452	4.67e-07
ESYT1	-0.33059578	0.0322
ETF1	0.00228724	0.981
ETFA	0.47004971	0.00276
ETFB	0.38350749	0.0454
ETFDH	1.33070331	2.34e-08
ETHE1	-0.45151284	0.00678
ETS1	-0.22318076	0.507
ETS2	-1.01144833	0.000599
ETV1	1.46100792	0.000784
ETV2	0.16505715	0.5
ETV3	0.54207029	0.0797
ETV4	-0.57478737	0.0329
ETV5	-0.04269572	0.882
ETV6	-0.2345304	0.493
EVI2A	-0.22530094	0.534
EVI2B	-0.5396825	0.349
EVI5	-0.02260536	0.911
EVPL	-0.27666735	0.437
EVX1	0.50302616	0.0238
EWSR1	-0.68909715	0.000345
EXD2	0.21529637	0.371
EXO1	-0.43336664	0.129
EXOC3	-0.22091744	0.203
EXOC6B	0.49445116	0.136
EXOG	0.39469321	0.222
EXOSC10	-0.18579814	0.202
EXOSC2	-0.58006384	0.00256
EXOSC7	-0.05083425	0.804
EXOSC7///CLEC3B	2.54739405	2.34e-11
EXOSC8	0.09164989	0.418
EXOSC9	0.67417572	0.0349
EXPH5	-0.37077816	0.405
EXT1	-1.66358367	6.18e-11
EXT2	-1.30778203	6.53e-06
EXTL1	1.41770873	0.000107
EXTL2	0.28896066	0.0441
EXTL3	-0.20265021	0.0467
EYA1	0.72623873	0.0331
EYA2	1.55420908	6.31e-05
EYA3	0.58732145	0.0765
EYA4	1.54288908	8.18e-05
EZH1	0.76427853	5.31e-08
EZH2	-0.74638258	0.000807
EZR	-1.20812105	6.29e-06
F10	1.02669074	4.99e-05
F11	0.00035075	0.999
F12	-0.54313162	0.0467
F13A1	0.13157072	0.642
F13B	0.91742862	0.0256
F2	0.53256459	0.058
F2R	-1.03399985	0.000393
F2RL1	-2.05434538	1.55e-08
F2RL2	0.36833787	0.335
F2RL3	0.68887779	0.000199
F3	-1.64492278	0.00024
F5	0.68123914	0.0511
F7	0.61605944	0.00221
F8	1.29066695	2.76e-06
F8A3///F8A2///F8A1	-0.10560421	0.549
F9	1.05460534	0.00269
FAAH	0.39458061	0.0749
FABP1	0.50058417	0.106
FABP2	0.86753669	0.0242
FABP3	2.65857892	6.49e-09
FABP4	0.78750259	0.273
FABP5	-2.21738402	1.94e-11
FABP6	0.34636885	0.195
FABP7	2.05235561	3.36e-10
FADD	-1.16785357	2.3e-09
FADS2	0.74539469	0.0191
FADS3	0.31736229	0.152
FAF2	-0.5050655	0.00713
FAH	-0.08035188	0.781
FAIM2	0.59509782	0.00287
FAM102A	-0.3891614	0.1
FAM105A	0.60055297	0.047
FAM107A	0.96495725	4.41e-08
FAM110B	0.94680621	2.27e-06
FAM114A1	-0.25416476	0.226
FAM120A	-0.46947021	0.000952
FAM127A	0.0386034	0.818
FAM131A	0.09233624	0.615
FAM131B	0.66844196	0.0163
FAM134B	1.6937124	0.000234
FAM134C	-0.27879952	0.00339
FAM13A	0.98518266	5.26e-07
FAM13C	0.44301169	0.335
FAM149A	1.68278914	2.7e-05
FAM149B1	0.86313547	0.0188
FAM153A	0.6990755	0.0596
FAM155A	0.58614584	0.156
FAM155B	0.4551771	0.0585
FAM161A	0.78731752	0.00257
FAM168A	0.17709064	0.487
FAM168B	0.43138851	0.0301
FAM169A	-0.15080251	0.699
FAM171A1	0.92125238	0.000205
FAM172A	0.42259011	0.0112
FAM175B	0.09082501	0.573
FAM179B	0.67609566	0.000118
FAM189A1	0.54772935	0.00749
FAM189A2	1.55994385	1.74e-12
FAM189B	0.11172302	0.32
FAM193A	0.20709993	0.128
FAM205BP	0.49803563	0.0366
FAM208A	-0.25573866	0.0949
FAM208B	-0.09248849	0.759
FAM20B	-0.00813902	0.961
FAM214B	-0.55758974	0.00274
FAM216A	0.42403011	0.283
FAM234B	0.90483096	0.00149
FAM27B///FAM27C///FAM182B	0.54200308	0.0461
FAM30A	0.58618339	0.188
FAM32A	-0.52436617	5.25e-05
FAM3A	-0.56736447	0.00282
FAM3C	-0.57780559	0.0551
FAM47E-STBD1///FAM47E///STBD1	2.19352675	4.84e-06
FAM49A	0.28337158	0.204
FAM50A	-0.75641021	0.0199
FAM50B	0.87044857	2.16e-06
FAM53B	0.06859691	0.653
FAM63B	0.28568592	0.211
FAM65B	1.14728164	0.00712
FAM69A	0.21630139	0.248
FAM76A	0.55917101	0.0714
FAM89B	0.01127888	0.933
FAM8A1	0.44964108	0.00697
FAM91A1///LINC00869	-0.65761387	0.00772
FAM98A	-0.20076809	0.18
FAN1	0.49446609	0.000891
FANCA	0.47432265	0.0497
FANCC	-0.29476763	0.249
FANCG	-0.1804299	0.262
FANCI	-0.83956074	0.00247
FANCL	0.29064236	0.0294
FAP	-2.10666496	1.86e-08
FARP1	0.42909683	0.1
FARP2	0.02487621	0.926
FARS2	-0.42271183	0.0318
FARSA	-0.84410124	7.04e-05
FAS	0.48975938	0.00508
FASLG	0.33824625	0.288
FASN	-0.50933382	0.105
FASTK	0.31624692	0.00159
FASTKD2	-0.09394583	0.668
FAT1	-1.300076	6.23e-05
FAT2	-0.96213463	0.000562
FAU	-0.20066016	0.153
FBL	-0.08594076	0.51
FBLN1	0.94156153	0.00103
FBLN2	1.07148746	0.000471
FBLN5	1.48768584	5.69e-08
FBN1	-0.02691492	0.929
FBN2	0.10815883	0.711
FBP1	0.42672573	0.174
FBP2	3.0971548	1.16e-06
FBXL14	0.39168	0.14
FBXL2	-0.42331068	0.196
FBXL4	0.83156376	0.0173
FBXL5	1.11137195	9.75e-05
FBXL7	0.79442406	0.000545
FBXO21	0.86981434	0.00338
FBXO28	-0.19494804	0.0781
FBXO46	-0.40428213	0.00325
FBXO7	-0.1570498	0.115
FBXO9	-0.07384884	0.585
FBXW11	0.29801362	0.0698
FBXW4P1	0.30061516	0.183
FCAR	0.36991007	0.118
FCER1A	-0.22197199	0.564
FCER1G	-1.42867798	4.3e-05
FCER2	0.80860207	0.0217
FCGBP	0.30039503	0.271
FCGR1CP///FCGR1B///FCGR1A	-0.56831826	0.104
FCGR2A	-1.45097644	6.07e-05
FCGR2B	0.46658038	0.0425
FCGR2C///FCGR2A	0.50961998	0.00098
FCGR2C///FCGR2B///FCGR2A	-0.27382614	0.309
FCGR3A	-0.99037798	0.00222
FCGR3B	-0.33902854	0.34
FCGRT	0.74289693	0.00152
FCHO1	0.34427873	0.0787
FCHSD2	-0.38444376	0.0247
FCMR	-0.21720261	0.471
FCN1	0.30508173	0.328
FCN2	0.27594612	0.271
FCN3	0.54188701	0.00116
FDFT1	0.49008597	0.00131
FDPS	-0.39732384	0.00675
FDX1	0.95186186	0.00177
FDXR	0.06008191	0.695
FECH	0.90266164	0.0179
FEM1B	-0.2289394	0.218
FEM1C	0.10926362	0.528
FEN1	-1.40676692	1.38e-09
FER	-0.06450375	0.826
FERMT2	0.94052547	0.000334
FES	0.88397666	0.000668
FETUB	0.53442066	0.00175
FEV	0.61394225	0.00496
FEZ1	-1.51301446	5e-06
FEZ2	1.10782408	0.0011
FGA	0.4320469	0.204
FGB	0.80588799	0.00935
FGD1	-0.05504626	0.732
FGF1	0.94967042	0.0052
FGF12	0.881333	0.0174
FGF13	1.2319935	9.85e-05
FGF18	1.03850842	8e-05
FGF2	1.27623519	0.000867
FGF3	0.46539643	0.0269
FGF4	0.63568042	0.0103
FGF5	0.21994329	0.571
FGF6	0.60289079	0.0213
FGF7	1.39916791	0.000374
FGF8	0.73055356	0.0192
FGF9	1.48806528	7.8e-07
FGFBP1	-2.67983241	2.42e-05
FGFR1	0.82175347	0.000159
FGFR1OP	-0.98659747	9.69e-05
FGFR2	0.87187656	0.00345
FGFR3	-0.75344038	0.0617
FGFR4	0.64745389	0.00263
FGG	0.63150475	0.0413
FGL1	0.57073732	0.0479
FGL2	0.85207182	0.0307
FGR	0.27779397	0.122
FH	0.62708251	0.0192
FHIT	0.81627607	0.0153
FHL1	2.98109407	5.6e-07
FHL2	-0.28413666	0.3
FIBP	-0.44422782	0.0113
FICD	0.41457976	0.226
FIG4	0.57559179	4.73e-05
FILIP1L	0.29800542	0.226
FIP1L1///PDGFRA	0.80481885	0.0176
FKBP15	-0.31329348	0.00805
FKBP1B	-0.2682461	0.185
FKBP2	-0.33713243	0.0838
FKBP4	0.21773572	0.0465
FKBP5	0.84845589	0.00638
FKBP6	0.80792604	0.00522
FKBP8	0.67334257	0.00842
FKBP9	-0.59973143	0.000422
FKTN	-0.56493066	0.0216
FLAD1	-0.16951584	0.178
FLG	0.4115979	0.471
FLI1	0.47685244	0.0982
FLII	0.09467449	0.654
FLJ10038///GABPB1	0.34513321	0.109
FLNA	-1.29043894	6.52e-07
FLNB	-0.44585834	0.0209
FLNC	2.54968557	3.94e-06
FLOT1	0.64970495	0.00103
FLOT2	-0.08639834	0.642
FLRT1	0.79226936	0.0123
FLT1	0.7918553	0.000955
FLT3	0.46284695	0.126
FLT3LG	0.84987897	5.83e-05
FLT4	0.37233688	0.148
FMNL1	0.26115984	0.263
FMO1	0.56542461	0.0501
FMO2	1.98674472	4.93e-06
FMO3	0.76752081	0.0393
FMO4	0.41281942	0.0562
FMO5	1.19018888	0.00729
FMO6P	0.93401412	0.00163
FMOD	-0.09973602	0.777
FMR1	-0.57256741	0.00182
FN1	-1.53795572	0.00448
FNBP1	0.20242828	0.437
FNBP1L	0.71114923	0.00502
FNBP4	0.19008511	0.187
FNDC3A	0.31275169	0.0622
FNTA	-0.22402758	0.148
FOLH1B///FOLH1	1.02494735	0.00789
FOLR1	1.92052728	1.77e-07
FOLR2	0.31973955	0.145
FOLR3	-1.20655508	0.000938
FOS	0.82171781	0.0342
FOSB	0.97949005	0.00674
FOSL1	0.0219838	0.91
FOSL2	-0.08671005	0.579
FOXA1	2.63911077	2.54e-06
FOXA2	0.61175386	0.0113
FOXC1	0.50811185	0.0834
FOXC2	0.309984	0.0504
FOXD1	-0.03279451	0.855
FOXD2	0.14012518	0.596
FOXE1	-0.46555126	0.21
FOXF1	0.40980981	0.306
FOXF2	-0.90162123	0.0294
FOXG1	0.884608	0.0169
FOXH1	0.69222292	0.000318
FOXI1	0.31748371	0.262
FOXJ1	0.28000985	0.345
FOXJ2	0.14116769	0.129
FOXJ3	0.15919178	0.135
FOXK2	-0.62923647	4.6e-06
FOXM1	-1.1808002	5.97e-08
FOXN1	0.63963122	3.8e-05
FOXN2	0.56857868	0.0374
FOXN3	0.57527807	0.000409
FOXO1	0.47315438	0.00644
FOXO3	0.54809819	0.000403
FOXO4	1.2725278	1.49e-06
FPGS	-0.17249181	0.407
FPGT	-0.38951388	0.0237
FPR1	0.54062626	0.101
FPR2	0.87840704	1.54e-06
FPR3	0.33860353	0.0888
FRAT2	0.4536027	0.00603
FRK	0.83852276	0.0565
FRMD4B	-0.38547678	0.0515
FRMPD1	0.89809041	0.000496
FRMPD4	0.84318901	0.0241
FRRS1L	1.23701088	0.000123
FRY	1.83881344	1.38e-06
FRYL	-0.32435072	0.012
FRZB	1.97011727	1.66e-06
FSCN1	-2.58194509	1.82e-14
FSCN2	0.58343614	0.000574
FSHB	1.17933014	1.85e-05
FSHR	0.90450508	0.00128
FST	-1.07528368	0.000308
FSTL1	-0.80140157	0.00534
FSTL3	-0.9247343	0.000705
FSTL4	0.85495866	9.41e-06
FTH1	-0.14143048	0.414
FTH1P5///FTH1P3///FTH1	-0.49370997	0.01
FTL	-0.35808904	0.0127
FTO	-0.02654845	0.853
FTSJ1	-0.52819431	0.000594
FUBP1	-0.71736863	4.78e-07
FUBP3	-0.88675375	2.3e-06
FUCA1	0.87521345	0.00302
FURIN	-0.80073473	0.000152
FUS	-0.28621914	0.136
FUT1	0.03109223	0.804
FUT2	0.57352822	0.203
FUT3	0.81296765	0.0238
FUT4	0.17382269	0.361
FUT5	0.40345833	0.0719
FUT6	1.04487377	0.00095
FUT6///FUT5///FUT3	1.57801538	0.000356
FUT7	0.66739471	0.000945
FUT8	0.30361316	0.25
FUT9	0.51455187	0.247
FXN	0.54612218	0.0342
FXR1	1.37650972	0.000508
FXR2	0.5822232	2.87e-05
FXYD1	2.42424261	1.25e-11
FXYD3	-0.83846546	0.0532
FXYD6-FXYD2///FXYD2	0.91029039	0.000347
FYB	-0.87182815	0.0154
FYN	1.27356361	0.000569
FZD1	0.29226338	0.469
FZD2	-0.14249725	0.545
FZD5	-0.18956249	0.445
FZD6	-1.4148186	2e-08
FZD7	1.13077822	0.000162
FZD9	0.42028282	0.0512
FZR1	0.41580149	0.00328
Fas	0.4831179	0.111
G0S2	2.10209036	0.000162
G3BP1	-0.49843542	0.00422
G3BP2	0.23400781	0.218
G6PC	0.42339179	0.267
GAA	0.22127039	0.0912
GAB1	0.73393356	0.0355
GAB2	0.45748612	0.0587
GABARAP	0.46715853	8.93e-05
GABARAPL1	1.2971268	9.08e-08
GABARAPL2	0.34710197	0.006
GABBR1	0.10991126	0.625
GABBR2	0.81293783	0.00591
GABPA	0.19269351	0.318
GABPB1	-0.75739948	0.0113
GABRA1	0.44243314	0.114
GABRA2	1.325676	0.000991
GABRA3	0.07033952	0.857
GABRA5	0.6013677	0.0282
GABRA6	0.52835183	0.0839
GABRB1	0.4776397	0.122
GABRB2	0.59623646	0.00536
GABRB3	0.27797882	0.441
GABRD	0.25429263	0.225
GABRG2	0.60399128	0.0365
GABRG3	0.35092931	0.182
GABRP	1.21368313	0.00702
GABRR1	0.24694648	0.496
GABRR2	0.21701376	0.442
GAD1	0.54673555	0.0765
GAD2	0.29597849	0.44
GADD45A	0.03870796	0.843
GADD45B	0.74450015	0.00426
GADD45G	1.44915385	4.41e-06
GAGE10///GAGE12D///GAGE8///GAGE12F///GAGE2A///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE2E///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE2C///GAGE1	0.85805158	0.0658
GAGE12D///GAGE8///GAGE12F///GAGE2A///GAGE12H///GAGE12E///GAGE12B///GAGE12C///GAGE2D///GAGE12J///GAGE12G///GAGE13///GAGE2E///GAGE12I///GAGE7///GAGE6///GAGE5///GAGE4///GAGE2C///GAGE1	0.37557623	0.399
GAGE3	0.15725119	0.705
GAGE8///GAGE2A///GAGE2D///GAGE13///GAGE2B///GAGE2E///GAGE2C///GAGE1	0.4405562	0.00997
GAK	0.25775686	0.161
GAL	-0.49742055	0.207
GAL3ST1	0.93713849	0.000245
GALC	0.65166884	0.0412
GALE	-0.70033873	0.03
GALK1	0.19096522	0.168
GALK2	-0.23573646	0.268
GALNS	0.45834722	0.0533
GALNT1	-0.08300574	0.557
GALNT10	-0.44927046	0.0732
GALNT18	0.85538138	0.000595
GALNT2	-0.36177659	0.0144
GALNT3	-1.17777416	0.00161
GALR2	0.45218733	0.00525
GALR3	0.81488744	0.00235
GALT	0.03242699	0.84
GAMT	3.16339463	4.78e-09
GANAB	-0.73552532	0.000102
GAP43	0.78189166	0.0294
GAPDH	0.7256531	0.0021
GAPDHS	0.54678982	0.0014
GAPVD1	-0.64004006	0.00742
GARS	-0.89715181	3.05e-09
GART	-1.79706994	9.66e-10
GAS1	0.13225702	0.493
GAS2	1.34066126	8.15e-05
GAS2L1	-0.88826408	6.01e-05
GAS6	0.30192336	0.0282
GAS7	1.18075282	0.000234
GAS8	0.71356391	2.95e-05
GAS8-AS1	0.26538045	0.406
GAST	-0.2023508	0.447
GATA1	0.09231796	0.701
GATA2	0.49884584	0.0318
GATA3	-0.20196032	0.507
GATA4	0.68120377	0.00138
GATA6	0.37438116	0.207
GATAD1	0.44557004	0.103
GATB	1.01126072	8.33e-05
GATC	-1.00934892	5.48e-05
GATC///SRSF9	-1.05585512	2.95e-07
GATM	2.05796352	1.24e-09
GBAP1///GBA	-1.50860417	9.72e-06
GBAS	1.21641216	0.000267
GBE1	0.81513157	3.06e-06
GBF1	-0.22596391	0.237
GBP1	-1.8099829	6.95e-08
GBP2	-0.02177997	0.914
GBX1	0.66767127	0.000593
GBX2	0.32706845	0.35
GC	0.24574141	0.38
GCA	0.89167518	0.00238
GCAT	0.57623263	1.46e-05
GCDH	0.61383739	5.51e-06
GCFC2	0.44668553	0.00217
GCG	1.20206911	0.000262
GCGR	0.39145731	0.0222
GCH1	-0.56523473	0.00352
GCHFR	0.75756689	0.000552
GCK	0.75366024	6.84e-06
GCKR	0.76942194	0.000548
GCLC	-0.26845286	0.226
GCLM	0.09897353	0.732
GCM1	0.9937774	0.000413
GCN1	-0.0067494	0.948
GCNT1	0.20173082	0.583
GCNT2	0.43412256	0.108
GCOM1///POLR2M	0.46560584	0.000401
GDE1	0.18461496	0.488
GDF10	1.66076775	1.76e-05
GDF11	0.83506535	0.0128
GDF15	-0.04239086	0.845
GDF5	0.7858587	2.9e-05
GDF7	0.96432549	0.000968
GDI1	-0.05625424	0.635
GDI2	-0.53016729	0.000497
GDPD5	0.74811752	0.00456
GEM	-0.39158978	0.19
GEMIN2	-0.54648563	0.0301
GEMIN4	0.07194155	0.628
GFAP	0.78996227	0.000415
GFER	0.50034752	0.0455
GFI1	0.08929666	0.75
GFPT1	0.00622027	0.97
GFPT2	0.28241851	0.0893
GFRA1	0.4110368	0.256
GFRA2	0.81609726	0.0126
GFRA3	0.7406362	5.52e-05
GGA2	0.5439228	0.0102
GGA3	0.18757676	0.154
GGCT	-0.78512521	1.39e-05
GGCX	0.63870683	0.0337
GGH	-1.82280707	1.68e-08
GGPS1	0.07800336	0.467
GGT2///GGTLC1///GGTLC2///GGT1	-0.44243785	0.153
GGT5	0.11346778	0.437
GH1	0.57403711	0.0115
GH1///CSHL1///CSH2///CSH1	0.38280545	0.17
GH2	0.90019211	0.000325
GHITM	0.59065734	6.83e-06
GHR	1.54758642	8.9e-09
GHRH	0.58576278	0.0128
GHRHR	0.74926256	0.00412
GIF	0.65880251	0.0253
GIGYF2	0.64358105	0.000126
GIMAP1-GIMAP5///GIMAP5	0.33627658	0.371
GINS1	-1.57383224	5.12e-07
GIP	0.92486034	0.000224
GIPC1	0.04190656	0.745
GIPR	1.00023809	0.00065
GIT2	0.08102412	0.73
GJA1	-2.9454464	1.53e-16
GJA4	1.36330094	5.69e-06
GJA5	0.91945102	0.000143
GJA8	1.02927801	3.77e-05
GJA9-MYCBP///MYCBP	-0.23480563	0.0504
GJB1	0.5459858	0.0052
GJB3	-1.90553735	6.94e-08
GJB5	-1.41110488	1.41e-07
GJC1	0.3127602	0.252
GJC2	0.82817156	3.55e-05
GK	0.25436269	0.377
GK2	0.67897491	0.00853
GK3P///GK2///GK	0.12639679	0.72
GLA	-1.18794557	3.77e-06
GLB1L2	1.17985657	3.35e-05
GLCE	0.42478763	0.0144
GLDC	-0.05237543	0.868
GLE1	0.24114932	0.127
GLG1	0.14756831	0.219
GLI1	0.40685858	0.0901
GLI2	0.69857484	0.00131
GLI3	-0.46403143	0.106
GLIPR1	-0.92989025	0.00326
GLMN	1.59594204	0.000907
GLO1	-0.95692306	2.01e-05
GLOD4	-0.48797349	0.000636
GLP1R	1.12549638	0.000229
GLRA1	0.43980051	0.0902
GLRA2	0.65877149	0.0133
GLRA3	1.14757354	0.00726
GLRB	2.30541908	5.38e-09
GLRX	0.24746665	0.428
GLRX3	-0.65837943	0.0111
GLS	0.28295477	0.13
GLS2	0.56399692	0.0734
GLT8D1	-0.18781875	0.429
BICRAL	0.36965921	0.0887
GLUD1	-0.52218252	0.00456
GLUD2	-0.72423657	0.0105
GLUL	1.00479754	3.21e-05
GLYAT	0.50961032	0.0443
GM2A	-2.07711762	3.58e-09
GMDS	0.66845728	0.117
GMFB	-0.84167674	2.79e-07
GMFG	-0.64332587	0.0992
GML	0.8767643	0.0044
GMPR	1.68043614	1.66e-09
GMPS	-1.24425202	1.95e-09
GNA11	0.56676166	0.000128
GNA12	-0.56990368	0.0467
GNA13	-0.58896302	0.0787
GNA15	-1.71620107	4.67e-07
GNAI1	-1.80950521	1.44e-11
GNAI2	-0.30150787	0.0642
GNAI3	-0.92420734	0.000383
GNAL	0.93677034	0.000429
GNAO1	0.85234682	0.00861
GNAQ	-0.16452926	0.419
GNAS	0.91094019	9.48e-05
GNAT1	0.98869133	0.00265
GNAT2	1.37233071	6.86e-05
GNAZ	0.7574237	0.00199
GNB1	-0.76827987	3.84e-06
GNB2	-0.80890749	2.13e-07
GNB3	0.73418826	7.64e-06
GNB5	-0.88236457	9.08e-05
GNE	0.56190433	0.012
GNG11	0.81062251	0.000329
GNG12	-0.81905784	3.37e-06
GNG4	0.58107957	0.0171
GNG5	-0.42690085	0.00165
GNG7	1.05316746	3.62e-07
GNGT1	0.38758358	0.0894
GNL1	0.6168529	0.000232
GNL2	-0.14443649	0.15
GNLY	-1.43744263	1.33e-05
GNMT	0.62875828	0.053
GNPAT	0.54326885	0.000214
GNPDA1	-0.32630746	0.00396
GNRH1	0.38091893	0.162
GNRH2	0.87007157	5.51e-05
GNRHR	0.25313611	0.526
GNS	-0.42969647	0.0878
GOLGA1	0.1953443	0.107
GOLGA2	-0.65511668	0.00208
GOLGA3	-0.250379	0.111
GOLGA4	0.85496276	2.93e-08
GOLGA8A	0.11037644	0.643
GOLGB1	0.18670408	0.161
GOLIM4	0.3274481	0.477
GORASP1	0.51751068	0.00043
GORASP2	-0.4694754	0.00204
GOSR1	0.48928221	0.00398
GOSR2	-0.05604494	0.839
GOT1	1.64834789	6.74e-13
GOT2	0.50919839	0.0155
GP1BA	0.66141131	0.0082
GP2	0.86457744	9.87e-05
GP5	1.48630918	0.000727
GP9	0.64124196	0.00235
GPA33	0.85536322	6.92e-05
GPAA1	-0.2943385	0.0197
GPATCH8	0.30787584	0.0398
GPC1	-0.25912649	0.175
GPC3	1.89327721	1.53e-06
GPC4	1.96160915	8.6e-06
GPC5	0.66408137	0.0725
GPD1	3.02846111	2.25e-12
GPD1L	2.14387973	1.05e-13
GPD2	0.50117047	0.0162
GPER1	0.49940616	0.0373
GPI	0.2076875	0.208
GPKOW	-0.01563075	0.935
GPLD1	0.87859095	0.00106
GPM6A	1.46059479	8.79e-05
GPM6B	0.2724054	0.474
GPN1	-0.44951744	0.000404
GPNMB	-1.21993266	2.29e-05
GPR1	-0.96073791	0.00306
GPR107	-0.32926183	0.00678
GPR12	0.32181565	0.261
GPR135	0.61115312	0.027
GPR137B	-1.60563674	4.97e-07
GPR143	0.32568125	0.343
GPR15	0.63163793	0.000905
GPR161	0.33100249	0.0105
GPR162	0.62528876	0.000326
GPR17	0.68652841	0.0262
GPR171	0.77569355	0.0323
GPR176	-0.0981631	0.702
GPR18	0.83223633	0.000557
GPR182	0.56084773	0.0037
GPR183	-1.6985082	0.00126
GPR19	0.49900336	0.195
GPR20	0.51831666	0.0952
GPR3	0.73941087	0.000533
GPR31	0.26571118	0.137
GPR35	0.36990713	0.00889
GPR37L1	-0.56313605	0.0467
GPR39	0.46014176	0.0427
GPR4	-0.45169801	0.216
GPR45	0.9453097	0.00196
GPR50	0.75567374	8.11e-07
GPR6	0.0868972	0.738
GPR65	-0.34090543	0.419
GPR68	1.54029464	2.23e-10
GPR78///CPZ	0.04311194	0.798
GPRASP1	1.7930112	2.51e-08
GPRC5A	-0.63638736	0.0218
GPRC5B	1.64338242	1.83e-09
GPRIN2	0.66645701	0.000143
GPS2	0.42290671	0.000231
GPSM2	-0.74931516	0.00393
GPSM3	-0.16542981	0.581
GPT	1.21851767	1.59e-07
GPX1	-0.16293114	0.164
GPX2	-1.04709115	0.0316
GPX3	1.35365307	0.000204
GPX4	0.37058333	0.011
GPX7	0.15278195	0.594
GRAMD1B	1.06685938	0.000287
GRAMD4	-0.31449001	0.0975
GRAP	0.55330473	0.000483
GRAP2	0.65476474	0.0024
GRB10	0.67499586	0.000591
GRB14	2.19095664	1.7e-06
GRB2	-0.28724165	0.0332
GRB7	-0.22368139	0.317
GREB1	0.52598662	0.0747
GREM1	-0.21410448	0.391
GRHPR	0.31933448	0.0358
GRIA1	1.15117471	4.36e-05
GRIA2	1.70881357	7.14e-05
GRIA3	0.47060474	0.232
GRIK1	1.05551023	0.0056
GRIK1-AS2///BACH1	-1.08814125	2.9e-05
GRIK2	1.8268931	1.69e-05
GRIK3	0.7875651	0.0134
GRIK5	0.81377213	0.0105
GRIN1	0.66906699	0.00246
GRIN2A	0.61395029	0.0191
GRIN2B	0.38808416	0.244
GRIN2C	0.7166725	0.00349
GRIN2D	0.35264607	0.0673
GRINA	0.30963284	0.0997
GRIP1	0.65546597	0.0183
GRIP2	0.72927477	8.23e-06
GRK1	0.70176563	0.00927
GRK2	0.37216528	0.0367
GRK3	-0.284063	0.251
GRK4	0.47880888	0.0641
GRK5	0.36903239	0.0105
GRK6	0.26618622	0.0322
GRM1	0.7873996	0.00852
GRM2	0.42395042	0.00552
GRM3	0.66146885	0.0321
GRM4	0.70704204	0.00405
GRM5	0.95660149	0.00304
GRM8	0.60492796	0.0756
GRN	-1.88094228	1.76e-07
GRP	0.65570993	0.00705
GRPEL1	0.605471	0.0676
GRPR	0.54344749	0.00329
GRSF1	0.28629225	0.088
GSAP	-0.11799488	0.689
GSE1	0.59887201	7.29e-06
GSK3A	0.30522403	0.00624
GSK3B	-1.02982091	7.85e-07
GSN	1.14638286	1.74e-07
GSPT1	-0.58150215	0.00238
GSR	-0.19336736	0.592
GSS	-0.28431941	0.0475
GSTA2///GSTA1	1.04123478	0.00283
GSTA3///GSTA2///GSTA1	0.94625111	0.0346
GSTA4	-0.26626928	0.271
GSTM3	1.02207449	0.0209
GSTM4///GSTM2///GSTM1	1.61928374	4.72e-06
GSTM5	0.84360525	0.00276
GSTO1	-0.74470686	2.7e-05
GSTP1	-1.36928749	7.3e-12
GSTT1	1.39585093	4.21e-05
GSTT2B///GSTT2	0.79444997	0.0191
GSTTP1	0.70151272	0.0105
GSTZ1	-0.02151768	0.892
GTF2A1	0.89844353	0.00231
GTF2A2	-0.25125496	0.207
GTF2B	-0.40401157	0.0317
GTF2E1	-0.36362309	0.0157
GTF2E2	-0.93898656	6.23e-07
GTF2F1	0.04830652	0.683
GTF2F2	-0.28576061	0.139
GTF2H1	-0.47837819	0.0021
GTF2H2	0.47308129	0.244
GTF2H2B	0.79395014	0.00325
GTF2H2C_2///GTF2H2C///GTF2H2B///GTF2H2	-0.45086878	0.237
GTF2H3	-0.29851954	0.0265
GTF2H4	-0.83263918	0.000499
GTF2H5	-0.00187431	0.99
GTF2IP4///GTF2IP1///GTF2I	-0.08910199	0.731
GTF2IRD2B///GTF2IRD2	1.16573379	0.00017
GTF3A	0.28498581	0.173
GTF3C1	-0.2229668	0.25
GTF3C2	-0.23305645	0.188
GTPBP1	0.55976972	0.0485
GTPBP6	0.26289132	0.023
GTSE1	-0.55504207	0.0859
GUCA1A	0.7925697	0.00064
GUCA1B	0.91950614	0.000172
GUCA2A	0.58761599	2.08e-05
GUCA2B	0.62761475	0.00843
GUCY1A2	0.7851737	0.00997
GUCY1A3	0.35401852	0.0575
GUCY1B3	0.26994419	0.219
