ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	Updated.gene.symbol	Updated.gene.title
37589_at	5.36e-09	3.74e-11	8.0691546	15.225611	1.94379351				
36512_at	0.459	0.376	0.8916072	-6.302794	0.37231771	AADAC	arylacetamide deacetylase	AADAC	arylacetamide deacetylase
40572_at	0.00348	0.000934	3.4821408	-1.176104	1.13288692	AAK1	AP2 associated kinase 1	AAK1	AP2 associated kinase 1
38434_at	0.327	0.249	-1.1634193	-6.028071	-0.10765759	AAMP	angio associated migratory cell protein	AAMP	angio associated migratory cell protein
36332_at	2.42e-05	2.03e-06	5.2600891	4.659038	0.76826164	AANAT	aralkylamine N-acetyltransferase	AANAT	aralkylamine N-acetyltransferase
36185_at	0.596	0.517	-0.6511806	-6.486643	-0.07301184	AARS	alanyl-tRNA synthetase	AARS	alanyl-tRNA synthetase
35761_at	0.569	0.49	0.6945592	-6.457633	0.09303975	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
35870_at	0.0156	0.00594	2.8525086	-2.88103	0.85846855	AASS	aminoadipate-semialdehyde synthase	AASS	aminoadipate-semialdehyde synthase
32117_at	3.84e-07	1.11e-08	-6.619171	9.693275	-0.68718891	AATF	apoptosis antagonizing transcription factor	AATF	apoptosis antagonizing transcription factor
34907_at	0.0174	0.00678	2.8047177	-3.000249	0.46176824	AATK	apoptosis associated tyrosine kinase	AATK	apoptosis associated tyrosine kinase
33446_at	0.0191	0.00762	2.7615254	-3.10667	0.7974312	ABAT	4-aminobutyrate aminotransferase	ABAT	4-aminobutyrate aminotransferase
32000_g_at	0.00577	0.00174	3.2776895	-1.755773	0.56859067	ABCA1	ATP binding cassette subfamily A member 1	ABCA1	ATP binding cassette subfamily A member 1
31754_at	0.000272	3.88e-05	-4.4434441	1.829181	-1.93867481	ABCA12	ATP binding cassette subfamily A member 12	ABCA12	ATP binding cassette subfamily A member 12
