Updated.gene.symbol	logFC	P.Value
SPRR1B	-2.13607848	1.54e-08
UGT8	-2.13203417	5.27e-18
ATAD2	-2.13058954	1.25e-26
POSTN	-2.11818037	1.82e-14
RMI2	-2.11595411	5.42e-28
CD24	-2.11582349	4.57e-20
RFC4	-2.10763919	9.06e-28
KIF15	-2.10448701	1.37e-28
CCDC34	-2.1043495	1.71e-30
FBXO32	-2.10112136	3.23e-34
MCM2	-2.08105866	7.36e-29
SIX1	-2.07856497	1.21e-15
KIF26B	-2.0698299	1.1e-21
DSG3	-2.06343812	3.06e-08
CDCA5	-2.05423237	5.66e-31
SLC44A5	-2.04473776	4.3e-19
KRT15	-2.0412204	2.48e-09
KRT14	-2.03426076	1.45e-07
FNDC1	-2.03010713	4.62e-17
CDC6	-2.03004488	1.02e-27
HOXC6	-2.0279636	2.77e-14
SPAG5	-2.0219955	1.56e-29
UBE2S	-2.01852796	3.2e-27
CKMT1B	-2.01643012	3.07e-20
BMAL2	-2.00523317	2.09e-17
ERO1A	-2.00338354	3.48e-23
PCP4	-1.99000674	2.4e-09
PTTG1	-1.9896771	3.69e-27
OIP5	-1.98342112	8.79e-26
PAICS	-1.98275108	2.22e-28
KIF18B	-1.98194434	2.29e-28
KNL1	-1.97803706	1.33e-28
KISS1R	-1.97477028	3.08e-14
MLLT11	-1.97348352	1.35e-14
FAM83B	-1.96900581	2.03e-13
IGFBP3	-1.96880046	2.79e-20
THBS2	-1.9470294	9.02e-17
COL3A1	-1.94567876	1.72e-18
MCM10	-1.9454405	3.32e-27
STIL	-1.94181938	4.39e-31
CDC45	-1.94049454	2.27e-28
CENPE	-1.92891622	2.05e-29
HMGB3P1	-1.92573947	4.01e-25
MDK	-1.91955297	3.52e-22
TWIST1	-1.91735078	8.24e-15
CDKN2A	-1.91599303	6.48e-18
CENPN	-1.91246635	1.5e-24
CCNE2	-1.91104361	5.01e-19
AURKB	-1.91016489	6.36e-30
CDCA2	-1.90894861	1.76e-26
BRIP1	-1.90628388	1.73e-25
AKR1C1	-1.90582447	4.24e-09
PRAME	-1.90381515	1.09e-13
BCL11A	-1.90163562	4.7e-16
UGT1A1	-1.89822382	4.36e-10
PPAT	-1.89188113	7.14e-22
DNAJC12	-1.88597104	4.94e-10
SPRR3	-1.88521037	4.24e-07
MMP9	-1.88073707	3.38e-14
CRABP2	-1.87874921	3.66e-17
SPRR1A	-1.87303356	1e-06
SGO2	-1.86481736	1.11e-22
DSG2	-1.86442008	9.46e-17
IGHM	-1.86202535	1.47e-08
CALML3	-1.86133295	4.52e-09
CCNE1	-1.85839504	1.48e-24
SPC25	-1.85832717	5.31e-23
COL1A2	-1.85684844	1.42e-18
PAFAH1B3	-1.85092538	8.07e-38
GCLC	-1.84950417	7.21e-19
GPT2	-1.83572958	8.04e-28
CDCA8	-1.83474816	2.45e-33
TK1	-1.83107783	2.48e-26
HELLS	-1.82665551	6.16e-26
GGH	-1.81648064	2.14e-21
EXO1	-1.81625062	5.55e-27
SELENOI	-1.81561853	1.66e-25
NQO1	-1.80628779	2.25e-13
RPL39L	-1.80447484	1.96e-20
E2F8	-1.80280579	5.02e-22
IGHA1	-1.7980345	8.47e-09
PFN2	-1.79772189	8.38e-25
RACGAP1	-1.79698674	2.68e-27
E2F7	-1.79492386	9.57e-18
GALNT14	-1.78912927	6.83e-20
POLQ	-1.78278647	5.4e-26
UCK2	-1.77671671	2.52e-27
NCAPH	-1.77352366	5.73e-27
SLC7A11	-1.77337985	7.94e-12
TOP6BL	-1.76635976	6.77e-24
TRIM59	-1.76621103	1.01e-23
LGR4	-1.76314963	1.37e-21
CTTN	-1.76153194	1.59e-20
PLOD2	-1.75777589	2.04e-19
MMP11	-1.75540989	1.11e-21
PERP	-1.74856957	2.75e-18
IGHV3-23	-1.7469081	2.2e-08
SPINK1	-1.74488271	1.28e-05
CKS1B	-1.74433506	1.27e-30
PLPP2	-1.74431795	4.58e-21
MAGED4B	-1.74297107	9.38e-17
NME1	-1.74222845	3.72e-35
DUXAP8	-1.74072136	4.25e-21
NMRAL2P	-1.73967387	1.94e-07
C12orf56	-1.73917112	5.77e-16
COL5A2	-1.73777828	1.75e-17
LY6K	-1.73724336	1.25e-12
SESN3	-1.73259468	8.01e-13
TP63	-1.72627296	5.91e-06
DAPL1	-1.72162643	2.42e-06
FAM83A	-1.71727745	9.49e-12
CENPK	-1.71532036	3.13e-24
H2BC5	-1.71400903	5.96e-31
NEFL	-1.71138975	3.44e-07
CENPW	-1.70613302	2.4e-19
CLCA2	-1.70578936	1.24e-05
RNASEH2A	-1.70575802	2.38e-27
DSC3	-1.70166662	1.02e-07
PPP2R2C	-1.70061627	2.53e-13
SINHCAF	-1.69370578	1.06e-25
GMNN	-1.69038637	7.56e-30
MAGEA12	-1.68345218	1.61e-07
CCN4	-1.68290768	5.2e-12
CBX2	-1.67758572	1.43e-18
IGFBP2	-1.67233105	1.56e-11
TNPO1	-1.66899136	1.7e-37
CABYR	-1.65855804	5.22e-17
CST1	-1.64980267	2.5e-10
GOLM1	-1.64760485	3.12e-19
ASCL1	-1.64736633	4.69e-05
SYT1	-1.64464852	1.82e-11
KRT16	-1.64381481	2.65e-09
GAPDH	-1.64213772	9.54e-30
TIMELESS	-1.64190261	1.17e-29
COL12A1	-1.64048087	2.03e-12
CNTNAP2	-1.63997557	5.49e-11
DEPDC1B	-1.63341431	2.8e-25
LOC102724701	-1.63240571	1.19e-16
IGHD	-1.61949559	6.45e-08
KNTC1	-1.61891857	6.92e-27
IGHV1-69	-1.61737807	4.98e-10
CXCL14	-1.61671616	1.55e-06
DIO2	-1.6151295	2.41e-15
PLAAT1	-1.61288436	3.53e-13
HILPDA	-1.61072459	5.74e-14
NCAPG2	-1.60701271	1.13e-27
CKAP2L	-1.60476821	5.25e-24
IRF6	-1.60454713	1.84e-13
CKS2	-1.59879909	1.56e-18
CDT1	-1.59816736	1.36e-26
PIMREG	-1.59774928	6.48e-28
FAP	-1.59709332	1.47e-14
POLE2	-1.5939636	2.05e-27
ANP32E	-1.59371492	8.15e-22
SYT13	-1.58938481	3.28e-08
PTPRZ1	-1.58863382	2.76e-06
LRRC15	-1.58557903	2.12e-10
DSCC1	-1.58513248	1.75e-21
FGB	-1.58271649	2.01e-05
IGSF9	-1.58267847	2.27e-20
CDH3	-1.58205014	4.34e-13
APOBEC3B	-1.58026262	4.86e-10
SLC7A5	-1.57887227	2.47e-16
RAD51	-1.5786859	1.88e-28
FEN1	-1.57648826	4.62e-26
PDK1	-1.57459496	5.82e-19
FCRL5	-1.56931692	3.98e-10
SOX4	-1.56614517	2.05e-15
IGLJ3	-1.56471698	1.87e-08
DNAH14	-1.56281307	4.99e-27
MYBL2	-1.56102793	2.52e-26
BAIAP2L1	-1.55524004	7.91e-20
SHCBP1	-1.5531793	2.63e-18
CP	-1.5478736	2.71e-07
IGKC	-1.54647097	2.44e-07
KPNA2	-1.54552908	4.76e-30
JPT1	-1.5451818	1.97e-28
F12	-1.54346213	3.36e-24
SORD	-1.54250827	1.83e-24
SLC2A5	-1.54247968	3.22e-17
PI15	-1.5421156	1.29e-08
HMGA1	-1.54183548	4.08e-27
ZWILCH	-1.54174715	6.25e-22
MND1	-1.536276	1.34e-23
EIF4EBP1	-1.53039108	3.34e-22
MCM7	-1.52888842	2.53e-23
KRT13	-1.52502741	3.4e-05
RASSF6	-1.52497688	8.66e-13
MMP10	-1.52399218	3.13e-06
FIRRM	-1.51722855	3.21e-23
MIF	-1.51609307	6.03e-37
SPAG4	-1.51301277	5.28e-14
UBFD1	-1.50961331	2.63e-31
TROAP	-1.50749506	8.9e-33
AIM2	-1.50389619	2.12e-10
CTSV	-1.50255474	1.63e-19
SCG2	-1.4968714	4.55e-06
MMP13	-1.49633849	2.05e-08
SIX4	-1.49624767	1.96e-18
ASF1B	-1.495971	6.68e-27
SERPINB13	-1.49478078	8.11e-06
SPOCK1	-1.49449437	2.08e-11
MSI2	-1.49446642	9.65e-17
C5orf46	-1.49036303	1.05e-19
COL5A1	-1.48938836	6.05e-13
LYPD3	-1.48624247	2.16e-11
FIGNL1	-1.48484103	7.39e-22
MMP3	-1.47669649	1.18e-08
IGK	-1.4759111	1.41e-08
ORC6	-1.47577855	1.77e-23
HORMAD1	-1.47296077	8.99e-09
PYCR1	-1.47208852	1.49e-32
MCM8	-1.47019666	6.7e-21
IGLV@	-1.47009879	6.3e-08
SERPINE2	-1.46798813	7.1e-13
CLDN10	-1.46759585	4.94e-08
IGLV3-10	-1.46419002	1.91e-06
RAD54B	-1.46282994	5.73e-23
BBOX1-AS1	-1.46073969	1.42e-15
IGKV4-1	-1.45973303	7.98e-06
MTFR2	-1.45766006	2.77e-16
HOXB7	-1.45655563	2.87e-14
ANKRD22	-1.45294335	1.42e-09
TPD52	-1.45160213	1.41e-14
PCSK1	-1.4502819	1.11e-05
TRIM29	-1.44890044	4.59e-06
H2BC9	-1.4454402	7.08e-27
BLM	-1.4438647	4.62e-26
NCAPD2	-1.4436896	5.91e-24
OCIAD2	-1.44341326	5.36e-26
SKAP2	-1.43988604	5.9e-10
CKAP2	-1.43844143	6.8e-23
LGALS7	-1.43777234	2.31e-09
NETO2	-1.43761712	5.02e-16
ESPL1	-1.43564649	8.52e-25
GNG4	-1.43509107	4.8e-11
LOC730101	-1.43476066	9.29e-14
CERS6	-1.43110811	1.1e-19
PMAIP1	-1.42874846	1.09e-11
RALGPS2	-1.42723681	3.9e-22
TMEM158	-1.42523162	4.78e-10
MELTF	-1.42370561	1.01e-13
ESRP1	-1.42280686	3.08e-15
DONSON	-1.41712083	6.27e-25
ECE2	-1.41660295	1.29e-26
P3H4	-1.41624075	7.72e-28
FAM199X	-1.41138884	6.59e-22
LGSN	-1.40837081	1.06e-07
SHMT2	-1.40668762	1.43e-23
SKP2	-1.40358792	6.94e-17
LCAL1	-1.40059416	1.85e-08
HES6	-1.39970496	1.17e-10
FOXE1	-1.3993685	1.33e-07
IQGAP3	-1.39896828	8.36e-27
SPATS2	-1.39655448	2.03e-29
SAPCD2	-1.39582297	2.71e-31
FKBP4	-1.39560457	1e-20
LY6D	-1.39550992	6.84e-07
ZIC2	-1.39534767	1.24e-11
CHGB	-1.39280008	1.23e-05
TMPO	-1.39272166	1.44e-25
THOC3	-1.39136896	3.77e-25
FAR2P2	-1.39008254	5.08e-09
GCNT3	-1.38703482	4.92e-09
IGLV1-44	-1.38580852	3.04e-05
H2AC25	-1.38194872	1.58e-21
IGLV3-1	-1.38176034	3.73e-07
FOXD1	-1.38041207	8.47e-11
S100A7	-1.37997853	2.39e-05
TNNT1	-1.37694965	3.35e-10
H2AC18	-1.37676526	4.36e-21
PLK1	-1.37573749	3.2e-29
BORA	-1.37427518	7.13e-22
ASNS	-1.37405111	1.87e-21
SLC12A8	-1.37332397	3.44e-17
AUNIP	-1.37313419	2.05e-29
CENPM	-1.37288116	1.14e-21
LOXL2	-1.37235399	1.7e-12
GAGE2C	-1.37120887	4.84e-05
TMPRSS11E	-1.3689835	3.82e-09
PALS2	-1.36893157	1.98e-16
CDC25A	-1.36842177	1.29e-22
EPN3	-1.36771393	8.69e-18
SMC2	-1.36651574	1.55e-17
MARCKSL1	-1.3661583	8.41e-18
TWF1	-1.36602637	7.16e-21
RNFT2	-1.36566684	5.62e-16
RGS17	-1.36397063	5.58e-12
CENPI	-1.36363966	1.95e-22
UBD	-1.36225036	3.21e-06
SLC16A1	-1.36224305	1.16e-10
HOXA10	-1.36153411	1.5e-11
GPI	-1.35564573	1.01e-24
RPP40	-1.35547146	1.21e-20
NUP155	-1.34996812	9.73e-22
HOXA1	-1.34887153	2.86e-13
RSRC1	-1.34760151	6.37e-21
PGM2L1	-1.3472516	2.6e-16
IGKV1D-37	-1.34712514	6.42e-06
CFAP251	-1.34683125	7.52e-06
MAP7D2	-1.34636072	2.64e-10
MRPL42	-1.33966295	8.44e-26
MCM6	-1.33892356	1.35e-18
CEMIP	-1.33070132	6.1e-09
CDC25C	-1.32946758	3.11e-24
PROM2	-1.32625245	1.59e-10
POU2AF1	-1.32555026	1.8e-05
GINS4	-1.32349676	3.54e-18
INA	-1.32307138	2.33e-07
STEAP1	-1.32186866	1.33e-08
CLGN	-1.31918597	3.79e-08
DBF4	-1.31740222	2.29e-19
FBXO45	-1.31711087	2.42e-17
KDM5B	-1.31671454	6.14e-28
SPRR2D	-1.31619529	3.27e-07
CALB1	-1.31512905	1.36e-05
RHOV	-1.31402986	1.85e-13
MARVELD3	-1.31185189	4e-20
GPX8	-1.31174317	5.17e-14
NPTX2	-1.3063902	1.31e-06
PIGX	-1.30524953	3.02e-18
XDH	-1.30443332	7.95e-09
RAD54L	-1.30082559	2.18e-24
SUV39H2	-1.29979674	9.22e-28
WDR12	-1.29885052	4.15e-26
BOP1	-1.29856438	1.7e-18
MFAP2	-1.29730698	1.9e-12
SERPINB3	-1.29721677	0.000313
DTNB-AS1	-1.29568251	2.04e-08
HSPD1	-1.29338099	8.24e-10
INSM1	-1.29314511	6.45e-05
GBP6	-1.29214642	8.18e-07
BMP7	-1.29198245	3.13e-08
ADAMTS12	-1.29105994	1.23e-13
NDE1	-1.29061304	5.93e-15
MAGEA2	-1.28853662	1.08e-06
TMEM177	-1.28794228	5.99e-26
CEACAM5	-1.28374089	0.00154
GDA	-1.28368471	2.48e-07
DTYMK	-1.28137508	5.49e-28
CBLC	-1.27912652	3.5e-19
KCTD1	-1.27810968	2.89e-12
MARK1	-1.27761131	4.23e-13
GAGE12I	-1.27743668	8.86e-05
DDIT4	-1.27670906	5.48e-12
MIS18A	-1.27519268	8.23e-21
RFC5	-1.27420763	1.68e-20
PVT1	-1.27419471	1.62e-18
ZNF367	-1.27315407	7.29e-15
PTK2	-1.27225865	9.27e-19
UQCC2	-1.27182854	7.73e-31
H2AC8	-1.27162058	2.81e-16
PITX1	-1.27128746	5.73e-14
FGF11	-1.27080079	5.16e-22
ACTL6A	-1.27019051	1.51e-23
KLHL7	-1.27013817	1.7e-16
CT83	-1.2692155	9.17e-07
EPRS1	-1.26724257	2e-23
ABTB3	-1.26709741	1.04e-09
TFDP2	-1.26673931	2.81e-22
KNSTRN	-1.26533656	2.13e-20
ITCH	-1.26364466	5.76e-22
NOX4	-1.26306969	1.82e-12
PAEP	-1.26277481	5.46e-06
RAB3B	-1.26268628	6.98e-10
GAGE7	-1.25923275	0.000131
BRCA1	-1.25919652	6.98e-21
LOX	-1.25417025	4.43e-09
GJB3	-1.2534182	7.57e-15
LINC01296	-1.25282097	8.51e-18
PFKP	-1.2515841	4.38e-19
DCUN1D1	-1.25019548	3.4e-14
DNMT3B	-1.24964568	3.08e-19
GGCT	-1.24958772	8.39e-26
SFXN1	-1.24933733	8.96e-26
FDCSP	-1.24872262	6.88e-05
IGLV2-14	-1.24825731	2.28e-05
NET1	-1.24788553	8.81e-15
CENPL	-1.24751128	4.12e-25
NDC1	-1.24720671	1.84e-18
XPO1	-1.24608818	7.12e-19
THY1	-1.24582681	4.17e-12
PRIM1	-1.24510997	1.45e-18
PI3	-1.24499009	2.27e-05
MTA3	-1.24468749	3.22e-35
CYP24A1	-1.24163129	1e-07
WASF1	-1.24062791	3.84e-16
HOXD10	-1.23651205	1.24e-10
H4C12	-1.23571779	5.7e-21
ENO1	-1.23526502	1.42e-08
CIART	-1.23486587	1.67e-13
EYA2	-1.23198477	2.52e-08
ATP11B	-1.23170464	5.95e-15
CDCA4	-1.23143351	2.23e-20
TMEM132A	-1.23072006	1.65e-27
NAV1	-1.22988781	5.07e-16
PLEK2	-1.22801242	4.52e-15
TFF1	-1.22525314	1.93e-05
BDH1	-1.22470942	5.94e-18
PLK4	-1.22359195	4.08e-22
ZC3H8	-1.22268505	6.99e-21
BIK	-1.21905435	3.27e-12
H2BC4	-1.21874722	1.54e-11
H3C10	-1.21495206	3.91e-13
KDELR2	-1.21401031	5.55e-25
EFNA4	-1.21268643	7.49e-22
PCNA	-1.21205718	1.49e-22
KIFC1	-1.21126345	3.93e-29
SPDL1	-1.21106189	5.52e-22
IGKV1OR1-1	-1.21072248	8.84e-07
TCN1	-1.21019706	8.51e-05
FSCN1	-1.21012317	5.91e-13
PSPH	-1.20711357	8.62e-15
CSAG3	-1.20649682	6.62e-08
FAXC	-1.20555068	7.72e-11
TMEM14A	-1.20476059	6.5e-22
MB	-1.20295166	9.85e-11
SUGCT	-1.20229278	2.38e-15
STYK1	-1.20155335	5.24e-11
COL7A1	-1.19784379	2e-10
MAGEA5P	-1.19711963	2.02e-07
FBN2	-1.19709796	4.12e-05
PLEKHG4B	-1.19506128	4.54e-14
BRI3BP	-1.19457593	5.12e-20
IL20RB	-1.19348397	2.1e-07
IGKV1OR2-108	-1.19310907	3.96e-05
PCAT6	-1.19284476	1.16e-20
BICD1	-1.1917861	2.23e-18
UQCC6	-1.19168251	1.15e-21
PPP1R14B	-1.19156219	9.44e-29
AHNAK2	-1.19024229	1.53e-05
TENM4	-1.18862844	4.58e-15
MRPS17	-1.18439678	9.11e-20
PAWR	-1.18290239	1.27e-16
C5orf34	-1.18192535	2.55e-18
RCCD1	-1.18057526	3.13e-28
SUSD4	-1.18014126	1.02e-09
PLPP4	-1.17832316	6.05e-13
PCDH7	-1.1777762	6.84e-09
ALYREF	-1.17617934	8.13e-17
PCDH19	-1.17612867	4.85e-06
PTGFRN	-1.17590035	2.79e-15
INAVA	-1.17445186	3.93e-09
GALNT7	-1.17385719	2.63e-12
MRPS12	-1.17371505	5.22e-16
SSX2IP	-1.17371391	1.05e-21
EFCAB11	-1.17086537	1.16e-19
POLR2H	-1.17079139	3.95e-27
SHOX2	-1.17053184	3.25e-12
HSPA4L	-1.16720065	2.21e-10
CA12	-1.16679103	2.37e-05
PAX9	-1.16660546	2.82e-10
VSNL1	-1.16634365	6.36e-07
NLN	-1.16580563	3.43e-18
UNG	-1.16428044	5.89e-22
MTHFD2	-1.16344672	1.02e-14
SNX5	-1.16281326	2.24e-21
LAPTM4B	-1.16119109	1.71e-07
C19orf48P	-1.15604031	2.48e-25
AFAP1-AS1	-1.1558096	4.15e-08
MCAM	-1.15341447	2.65e-16
BNIP3	-1.15321207	8.26e-16
DKC1	-1.1528296	4.28e-23
TBL1XR1	-1.15073154	5.43e-13
NONO	-1.15048698	4.86e-17
PFDN4	-1.15033525	4.15e-25
C2CD4A	-1.14907324	2.86e-07
MXRA5	-1.14845716	8.37e-09
LSP1P5	-1.14792847	1.02e-13
NSD2	-1.14725013	4.42e-18
MEX3A	-1.14707877	2.01e-19
NFE2L3	-1.14617974	4.38e-13
FBXO5	-1.14481819	4.86e-17
PDCD2L	-1.14424074	1.56e-24
BNC1	-1.14354902	1.45e-06
DDX11	-1.14329204	3.34e-23
METTL8	-1.14307185	1.78e-18
CIP2A	-1.143018	3.62e-14
TUBG1	-1.14246453	6.14e-25
ANKRD46	-1.14240049	1.25e-20
DNMT3A	-1.14119803	3.42e-22
JPT2	-1.14098054	3.5e-29
PLPP5	-1.14023507	1.98e-14
NCBP2	-1.13987602	1.59e-19
BARD1	-1.1391015	1.09e-15
NUDT1	-1.1383961	5.17e-19
CDK5R1	-1.13820833	5.2e-12
IGLV3-19	-1.13792941	2.28e-07
GMPS	-1.13403126	2.23e-18
SLC1A4	-1.13388583	6e-13
SERINC2	-1.13178929	6.57e-13
LINC01116	-1.13177282	2.66e-10
MTFR1	-1.13153151	4.48e-18
DSP-AS1	-1.13109473	4.53e-17
PDCD6P1	-1.13026892	5.78e-15
MAGEA4	-1.13015336	3.01e-05
KNOP1	-1.12888979	2.1e-21
MPHOSPH9	-1.12795805	4.22e-20
FGL1	-1.12659533	6.79e-05
GNAS	-1.12643894	1.07e-08
SYNJ2	-1.12554305	1.1e-14
ACP1	-1.12521958	2.2e-18
RCC1	-1.12481846	9.11e-17
TOX3	-1.12265243	0.000711
GAGE4	-1.12174724	8.21e-05
ABCB6	-1.12139676	8.97e-17
HOXC10	-1.12109551	8.56e-10
VIL1	-1.12094693	1.01e-07
MIR210HG	-1.11785192	8.51e-18
PTBP3	-1.11782146	6.93e-18
CNFN	-1.1175823	6.51e-14
ONECUT2	-1.11752961	1.21e-06
SV2A	-1.11728594	9.36e-11
KLC3	-1.11688397	7.5e-14
PITX2	-1.11537817	3.52e-07
H4C11	-1.11516681	4.59e-22
SLC4A11	-1.11493651	1.25e-10
PAK2	-1.11230457	2.55e-15
TSPAN5	-1.11213183	8.83e-13
DLK1	-1.11190377	0.00223
TPBG	-1.11161005	2.67e-11
FZD10	-1.11023651	1.98e-05
SIX2	-1.10960076	7e-10
WDHD1	-1.10875552	2.22e-20
LMNB1	-1.10856011	4.6e-14
DYNC1I1	-1.10522443	2.94e-08
G2E3	-1.10440369	1.72e-14
RPRD1A	-1.10433434	2.46e-16
NPM3	-1.10416222	2.59e-17
FANCG	-1.10390844	6.48e-20
CSE1L	-1.10326508	2.66e-18
DEPDC7	-1.10116402	6.51e-12
KIF18A	-1.10102604	2.56e-13
MSH2	-1.10032684	1.27e-15
PSRC1	-1.10017255	1.75e-14
FAT2	-1.09939713	1.9e-07
AGMAT	-1.09716311	3.98e-17
P4HB	-1.09675271	6.66e-07
FANCD2	-1.0963965	7.92e-15
FKBP11	-1.09447545	3e-08
H2AX	-1.09433486	2.76e-20
CAPNS2	-1.0928248	3.81e-06
PARPBP	-1.0919354	1.5e-16
CALCA	-1.0906089	0.00116
GAGE6	-1.09025965	0.00014
PNPT1	-1.0896525	1.39e-21
ZC3HAV1L	-1.08855362	2.71e-18
IDH2	-1.08746852	4.17e-23
SNHG1	-1.08739892	2.89e-18
PTGR1	-1.08734138	6.72e-09
CPD	-1.08589224	1.08e-09
SRPX2	-1.08553936	7.1e-09
ZNF280B	-1.08538649	2.92e-13
TCF19	-1.08391833	1.33e-16
ATP2A2	-1.08312503	2.7e-28
AGO2	-1.08259992	9.49e-14
NKAIN2	-1.08245857	2.45e-07
PHKA1	-1.08101659	1.4e-24
CAD	-1.08055372	8.18e-23
SBK1	-1.07795976	1.93e-13
PHF19	-1.07736113	1.77e-18
ALDH18A1	-1.07721326	1.81e-26
AHCY	-1.07696599	8.32e-22
SERPINB4	-1.07692003	2.79e-05
SGPL1	-1.07620492	1.11e-27
LMNB2	-1.07595026	2.43e-17
DCAF13	-1.07574209	4.83e-20
NIPSNAP1	-1.07460857	6.89e-21
SYNGR3	-1.07393341	1.23e-12
AKR1C2	-1.07315359	0.000762
CCDC167	-1.07272093	4.1e-24
GAL	-1.0719171	4.32e-10
PKP2	-1.07116957	7.44e-09
CCT5	-1.07023407	2.57e-26
PRKDC	-1.07006752	1.22e-12
MPZL1	-1.06926594	2.27e-19
LRP8	-1.06870195	1.49e-14
ERVMER34-1	-1.06627933	1.46e-08
CPS1	-1.06599391	0.000857
TIPIN	-1.06565961	4.62e-15
GMDS	-1.06528509	6.16e-13
TIMM8B	-1.06499994	1.07e-19
FHL2	-1.06408883	8.81e-10
FXR1	-1.06386536	4.73e-18
STMN1	-1.06289795	1.95e-17
PRDX4	-1.06280037	9.71e-21
CHAC2	-1.06057374	6.07e-12
TNS4	-1.06014805	9.65e-16
C15orf48	-1.05998799	0.000143
