Updated.gene.symbol	logFC	P.Value
COL11A1	-4.6922634	1.39e-33
MMP12	-4.50689029	6.81e-28
TOP2A	-4.09782715	1.5e-37
SPP1	-3.98681838	5.73e-33
GREM1	-3.97251597	1.11e-30
KRT6A	-3.54981973	6.83e-12
ANLN	-3.48049782	5e-34
CXCL13	-3.4170817	3.93e-17
CTHRC1	-3.31190933	5.37e-30
MMP1	-3.3008928	2.97e-15
AKR1B10	-3.28945989	5.28e-13
DLGAP5	-3.27617494	3.89e-34
GPX2	-3.2464396	3.57e-15
IGF2BP3	-3.23950794	4.4e-26
TTK	-3.22508844	5.34e-31
RRM2	-3.22499157	1.49e-29
CDC20	-3.2247802	3.08e-35
TPX2	-3.21830377	6.7e-35
PSAT1	-3.21065601	6.75e-30
GJB2	-3.1975452	3.69e-20
ASPM	-3.17647978	2.41e-32
WDR72	-3.15639368	5.05e-18
DUXAP10	-3.09684053	1.68e-25
GINS1	-3.0781012	7.45e-35
PBK	-3.07289916	6.17e-29
CCNB1	-3.04776351	2.69e-35
SERPINB5	-3.02387898	4.63e-14
BIRC5	-2.99568837	3.78e-33
NEK2	-2.9902782	1.15e-37
UBE2C	-2.98638713	1.51e-34
NUF2	-2.97961585	8.65e-33
CCNB2	-2.93421861	5.49e-35
PCLAF	-2.92774907	3.46e-33
CENPF	-2.90037638	1.85e-34
CENPA	-2.88973768	1.29e-32
CDKN3	-2.88229233	7.78e-33
UBE2T	-2.86611339	1.62e-40
MELK	-2.86179213	9.51e-34
COL10A1	-2.85704779	7.16e-23
KIF4A	-2.85253482	5.46e-37
MAD2L1	-2.84888033	4.03e-33
SLC2A1	-2.84770113	1.54e-28
CDCA7	-2.84661275	4.05e-29
BUB1B	-2.76509575	3.67e-32
CEP55	-2.75641333	2.08e-31
COL1A1	-2.72926592	2.97e-22
KRT6B	-2.70502231	3.17e-10
UHRF1	-2.70384452	1.16e-35
DSP	-2.7038363	2.63e-29
KRT17	-2.69333499	2.36e-12
PRC1	-2.6912992	2.52e-33
UCHL1	-2.66515484	6.85e-17
MAGEA3	-2.60523365	4.32e-10
DST	-2.60121758	1.61e-11
NUSAP1	-2.5782779	1.75e-30
NDC80	-2.57740092	1.34e-27
KIF2C	-2.57616344	8.17e-34
SCG5	-2.56288455	2.69e-18
BUB1	-2.5471048	5.7e-28
S100A2	-2.54623642	6.05e-10
FOXM1	-2.53793231	3.19e-30
MAGEA6	-2.5351702	7.66e-10
HMGB3	-2.53356676	5.36e-30
ADAMDEC1	-2.53213869	2.04e-14
HS6ST2	-2.53200063	1.32e-16
CDK1	-2.51603975	1.45e-29
DEPDC1	-2.50942161	1.94e-30
TFAP2A	-2.50392663	3.68e-18
KIF14	-2.49817614	3.44e-32
HMMR	-2.49697886	3.32e-29
SOX2	-2.49236194	9.42e-11
SULF1	-2.4775048	3.03e-24
AURKA	-2.46073904	4.99e-32
GINS2	-2.45746511	1.85e-35
PTHLH	-2.44789809	3.38e-11
TRIP13	-2.41879212	6.56e-28
CDCA3	-2.40575585	1.16e-31
TMPRSS4	-2.38195235	1.73e-19
GJB6	-2.38087024	2.59e-10
NMU	-2.37900228	3.25e-17
CCNA2	-2.35970981	6.81e-30
AK4	-2.35369697	1.72e-24
MKI67	-2.34635313	4.55e-32
LINC00511	-2.33843314	7.34e-26
KRT5	-2.33777032	4.17e-07
TYMS	-2.33132259	6.42e-27
KIF20A	-2.32497119	8.33e-29
HJURP	-2.32359213	5.13e-35
ECT2	-2.3193358	4.68e-29
ZWINT	-2.31357907	3.45e-31
COCH	-2.30608545	1.56e-17
PRR11	-2.29645907	1.93e-24
KIF11	-2.29451001	3.65e-29
UGT1A10	-2.28472587	1.21e-09
NCAPG	-2.28139923	7.3e-32
GPR87	-2.27589211	4.04e-12
SLC6A8	-2.2681252	3.25e-19
NTS	-2.25883483	1.14e-06
FAM72C	-2.25842349	5.23e-25
ADAM12	-2.24793471	9.65e-21
HMGA2	-2.23738968	4.32e-13
FANCI	-2.23388605	6.2e-29
DTL	-2.2229117	1.17e-21
EZH2	-2.20888285	2.99e-25
NCALD	-2.20691409	1.06e-15
MCM4	-2.19483631	3.42e-32
EGLN3	-2.19457934	8.19e-23
SRD5A1	-2.18989973	5.88e-30
TUBB2B	-2.18598881	2.23e-12
FAM83D	-2.18130275	6.17e-23
CENPU	-2.17664538	1.03e-25
KIF23	-2.17043246	2.52e-24
GTSE1	-2.16181574	4.71e-29
FERMT1	-2.1600563	7.35e-20
CHEK1	-2.14976077	2.17e-26
RAD51AP1	-2.14816092	1.28e-26
PKP1	-2.14147512	1.29e-10
